===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)

[CommonEvent 1] Use Item
  trigger=1 switch_id=1
   0| Conditional Branch     | 1 | 2 | 0 | 0 | 0
   1| Conditional Branch     | 0 | 20 | 0
   2| Show Text              | @niko I can't combine those...
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Text              | @ed [Those can't be combined.]
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 5 | 0
   1| Show Text              | @ed Niko dips the branch into the alcohol.
   1| Change Items           | 4 | 1 | 0 | 1
   1| Change Items           | 3 | 1 | 0 | 1
   1| Change Items           | 5 | 0 | 0 | 1
   1| Change Items           | 11 | 0 | 0 | 1
   1| Play SE                | dip (vol=100, pitch=100)
   1| Play BGS               | get_item (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 10 | 0
   1| Show Text              | @niko Use the screwdriver to...pull the lens out...?
   1| Show Text              | @niko Okay...
   1| Wait                   | 30
   1| Show Text              | @niko_speak Done!
   1| Change Items           | 4 | 1 | 0 | 1
   1| Change Items           | 9 | 1 | 0 | 1
   1| Change Items           | 8 | 1 | 0 | 1
   1| Change Items           | 10 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 13 | 0
   1| Show Text              | @niko The lens pops right in.
   1| Change Items           | 10 | 1 | 0 | 1
   1| Change Items           | 12 | 1 | 0 | 1
   1| Change Items           | 13 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 54 | 0
   1| Show Text              | @niko I can't use this one, \p...\>\n\@niko_speak My eyes are closed in it!
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 102 | 0
   1| Show Text              | @niko I don't think we can do anything else here, \p...
   1| Show Text              | @niko It feels like we're on the right track, though!
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 103 | 0
   1| Conditional Branch     | 0 | 20 | 0
   2| Show Text              | @niko_eyeclosed I'm not gonna smash the bottle!
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Text              | @ed [Those can't be combined.]
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 104 | 0
   1| Conditional Branch     | 0 | 20 | 0
   2| Show Text              | @niko_huh \p!!!\>\n\@niko_eyeclosed I am NOT gonna smash the sun!
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Text              | @ed [Those can't be combined.]
   2| (code 0)               |
   1| Conditional End        |
   1| Call Common Event      | 91
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 14 | 0
   1| Show Text              | @niko We're...using the sun directly on the battery?
   1| Show Text              | @niko I would've never thought of that!
   1| Show Text              | @niko_speak Good thinking, \p!
   1| Wait                   | 30
   1| Show Text              | @niko_speak Ah, looks like it's already fully charged.
   1| Show Text              | @niko That was fast...
   1| Change Items           | 13 | 1 | 0 | 1
   1| Change Items           | 14 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 101 | 0
   1| Show Text              | @niko I should inject the liquid through the cork, right, \p?
   1| Wait                   | 12
   1| Show Text              | @niko_speak It's like I'm a doctor!
   1| Change Items           | 11 | 1 | 0 | 1
   1| Change Items           | 60 | 0 | 0 | 1
   1| Change Items           | 22 | 1 | 0 | 1
   1| Change Items           | 21 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 16 | 0
   1| Show Text              | @niko So... I should inject the liquid through the cork, right, \p?
   1| Wait                   | 12
   1| Show Text              | @niko_speak It's like I'm a doctor!
   1| Wait                   | 30
   1| Show Text              | @niko_speak Oh!\n\.\.\@niko I should probably shake this too.
   1| Play SE                | dip (vol=100, pitch=50)
   1| Wait                   | 10
   1| Play SE                | dip (vol=100, pitch=75)
   1| Wait                   | 20
   1| Play SE                | dip (vol=100, pitch=65)
