Map 12: Start point  (70x100, tileset=2)

  Event 1: init @ (16,76)
  Event 2: entrance @ (23,47)
  Event 3: !bigpool @ (34,61)
  Event 4: east exit @ (58,67)
  Event 5: north exit @ (10,11)
  Event 6: FAST TRAVEL @ (23,49)
  Event 7: gasmask off @ (50,52)
  Event 9: EV009 @ (37,35)
  Event 10: EV010 @ (39,37)
  Event 11: EV011 @ (41,40)
  Event 12: EV012 @ (42,40)
  Event 13: EV013 @ (45,38)
  Event 14: EV014 @ (38,36)
  Event 15: EV015 @ (40,38)
  Event 16: EV016 @ (43,40)
  Event 17: EV017 @ (44,40)
  Event 18: EV018 @ (46,37)
  Event 19: EV019 @ (35,43)
  Event 20: EV020 @ (34,43)
  Event 21: EV021 @ (22,56)
    Page0: trigger=0  <face @ed [What's left of a robot.]>
    Page1: trigger=0  <face @niko A robot.> | <face @niko_eyeclosed It's beyond repair.>
  Event 22: EV022 @ (33,13)
  Event 23: EV023 @ (31,14)
  Event 24: EV024 @ (30,15)
  Event 25: EV025 @ (36,17)
  Event 26: EV026 @ (37,17)
  Event 27: EV027 @ (32,22)
  Event 28: EV028 @ (33,22)
  Event 29: EV029 @ (34,26)
  Event 30: EV030 @ (37,9)
  Event 31: EV031 @ (38,9)
  Event 32: EV032 @ (40,10)
  Event 33: EV033 @ (42,10)
  Event 34: EV034 @ (41,10)
  Event 35: EV035 @ (39,9)
  Event 36: EV036 @ (32,7)
  Event 37: EV037 @ (33,7)
  Event 38: EV038 @ (34,2)
  Event 39: EV039 @ (44,52)
  Event 40: EV040 @ (50,54)
  Event 41: EV041 @ (49,54)
  Event 42: EV042 @ (52,60)
  Event 43: EV043 @ (54,59)
  Event 44: EV044 @ (55,59)
  Event 45: EV045 @ (48,53)
  Event 46: EV046 @ (58,57)
  Event 47: EV047 @ (57,62)
  Event 48: EV048 @ (43,52)
  Event 49: EV049 @ (56,66)
  Event 50: EV050 @ (34,8)
  Event 51: EV051 @ (32,9)
  Event 52: EV052 @ (35,11)
  Event 53: EV053 @ (34,16)
  Event 54: EV054 @ (31,16)
  Event 55: EV055 @ (31,18)
  Event 56: EV056 @ (34,18)
  Event 57: EV057 @ (33,17)
  Event 58: EV058 @ (31,26)
  Event 59: EV059 @ (35,30)
  Event 60: EV060 @ (36,27)
  Event 61: EV061 @ (30,23)
  Event 62: EV062 @ (35,22)
  Event 63: EV063 @ (35,33)
  Event 64: EV064 @ (38,38)
  Event 65: EV065 @ (41,46)
  Event 66: EV066 @ (40,49)
  Event 67: EV067 @ (37,45)
  Event 68: EV068 @ (36,42)
  Event 69: EV069 @ (46,50)
  Event 70: EV070 @ (41,52)
  Event 71: EV071 @ (45,54)
  Event 72: EV072 @ (43,54)
  Event 73: EV073 @ (51,59)
  Event 74: EV074 @ (47,56)
  Event 75: EV075 @ (49,57)
  Event 76: EV076 @ (54,63)
  Event 77: EV077 @ (46,57)
  Event 78: EV078 @ (44,56)
  Event 79: EV079 @ (52,62)
  Event 80: EV080 @ (58,65)
  Event 81: EV081 @ (57,63)
  Event 82: EV082 @ (59,59)
  Event 83: EV083 @ (60,62)
  Event 84: EV084 @ (63,61)
  Event 85: EV085 @ (54,53)
  Event 86: EV086 @ (51,56)
  Event 87: EV087 @ (42,41)
  Event 88: EV088 @ (43,42)
  Event 89: EV089 @ (32,28)
  Event 90: EV090 @ (37,19)
  Event 91: EV091 @ (35,6)
  Event 92: EV092 @ (36,2)
  Event 93: EV093 @ (34,4)
  Event 94: EV094 @ (39,5)
  Event 95: EV095 @ (36,12)
  Event 96: EV096 @ (32,13)
  Event 97: EV097 @ (30,19)
  Event 98: EV098 @ (42,25)
  Event 99: EV099 @ (39,19)
  Event 100: EV100 @ (37,24)
  Event 101: EV101 @ (39,43)
  Event 102: EV102 @ (36,37)
  Event 103: EV103 @ (38,13)
  Event 104: EV104 @ (33,10)
  Event 105: EV105 @ (32,30)
  Event 106: EV106 @ (35,45)
  Event 107: EV107 @ (41,48)
  Event 108: EV108 @ (38,47)
  Event 109: EV109 @ (39,47)
  Event 110: EV110 @ (40,52)
  Event 111: EV111 @ (46,55)
  Event 112: EV112 @ (55,66)
  Event 113: EV113 @ (50,61)
  Event 114: EV114 @ (33,8)
  Event 115: EV115 @ (30,17)
  Event 116: EV116 @ (36,5)
  Event 117: EV117 @ (35,19)
  Event 118: EV118 @ (30,22)
  Event 119: EV119 @ (34,34)
  Event 120: EV120 @ (31,27)
  Event 121: EV121 @ (32,24)
  Event 122: EV122 @ (43,46)
  Event 123: EV123 @ (41,42)
  Event 124: EV124 @ (39,40)
  Event 125: EV125 @ (36,39)
  Event 126: EV126 @ (38,49)
  Event 127: EV127 @ (47,58)
  Event 128: EV128 @ (54,64)
  Event 129: EV129 @ (55,61)
  Event 130: EV130 @ (49,59)
  Event 131: EV131 @ (41,44)
  Event 132: EV132 @ (37,39)
  Event 133: EV133 @ (36,32)
  Event 134: EV134 @ (33,29)
  Event 135: EV135 @ (45,49)
  Event 136: EV136 @ (42,48)
  Event 137: EV137 @ (32,15)
  Event 138: EV138 @ (32,11)
  Event 139: EV139 @ (35,9)
  Event 140: EV140 @ (31,20)
  Event 141: EV141 @ (35,13)
  Event 142: EV142 @ (36,14)
  Event 143: EV143 @ (40,11)
  Event 144: EV144 @ (42,13)
  Event 145: EV145 @ (31,29)
  Event 146: EV146 @ (34,28)
  Event 147: EV147 @ (36,29)
  Event 148: EV148 @ (35,29)
  Event 149: EV149 @ (34,23)
  Event 150: EV150 @ (36,24)
  Event 151: EV151 @ (35,8)
  Event 152: EV152 @ (34,6)
  Event 153: EV153 @ (36,7)
  Event 154: EV154 @ (36,3)
  Event 155: EV155 @ (37,5)
  Event 156: EV156 @ (40,20)
  Event 157: EV157 @ (31,23)
  Event 158: EV158 @ (30,24)
  Event 159: EV159 @ (36,26)
  Event 160: EV160 @ (40,39)
  Event 161: EV161 @ (38,41)
  Event 162: EV162 @ (40,44)
  Event 163: EV163 @ (38,44)
  Event 164: EV164 @ (35,36)
  Event 165: EV165 @ (40,41)
  Event 166: EV166 @ (43,47)
  Event 167: EV167 @ (44,45)
  Event 168: EV168 @ (42,45)
  Event 169: EV169 @ (43,45)
  Event 170: EV170 @ (42,53)
  Event 171: EV171 @ (37,42)
  Event 172: EV172 @ (48,56)
  Event 173: EV173 @ (50,55)
  Event 174: EV174 @ (42,50)
  Event 175: EV175 @ (37,43)
  Event 176: EV176 @ (34,24)
  Event 177: EV177 @ (31,17)
  Event 178: EV178 @ (65,64)
  Event 179: EV179 @ (68,61)
  Event 180: EV180 @ (61,64)
  Event 181: EV181 @ (53,57)
  Event 182: EV182 @ (57,55)
  Event 183: EV183 @ (69,63)
  Event 184: EV184 @ (67,61)
  Event 185: EV185 @ (62,59)
  Event 186: EV186 @ (57,59)
  Event 187: EV187 @ (69,61)
  Event 188: EV188 @ (43,28)
  Event 189: EV189 @ (36,34)
  Event 190: EV190 @ (31,28)
  Event 191: EV191 @ (33,24)
  Event 192: EV192 @ (32,19)
  Event 193: EV193 @ (35,14)
  Event 194: EV194 @ (47,53)
  Event 195: EV195 @ (45,53)
  Event 196: EV196 @ (54,62)
  Event 197: EV197 @ (40,48)
  Event 198: EV198 @ (47,48)
  Event 199: EV199 @ (52,56)
  Event 200: EV200 @ (35,18)
  Event 201: EV201 @ (34,15)
  Event 202: EV202 @ (40,14)
  Event 203: EV203 @ (36,8)
  Event 204: EV204 @ (38,0)
  Event 205: EV205 @ (40,3)
  Event 206: EV206 @ (38,17)
  Event 207: EV207 @ (34,21)
  Event 208: EV208 @ (37,27)
  Event 209: EV209 @ (42,23)
  Event 210: EV210 @ (42,20)
  Event 211: EV211 @ (34,11)
  Event 212: EV212 @ (36,10)
  Event 213: EV213 @ (34,20)
  Event 214: EV214 @ (35,27)
  Event 215: EV215 @ (36,30)
  Event 216: EV216 @ (36,35)
  Event 217: EV217 @ (39,42)
  Event 218: EV218 @ (44,46)
  Event 219: EV219 @ (47,55)
  Event 220: EV220 @ (39,51)
  Event 221: EV221 @ (60,64)
  Event 222: EV222 @ (38,3)
  Event 223: EV223 @ (36,11)
  Event 224: EV224 @ (34,17)
  Event 225: EV225 @ (31,19)
  Event 226: EV226 @ (33,27)
  Event 227: EV227 @ (32,26)
  Event 228: EV228 @ (45,44)
  Event 229: EV229 @ (38,46)
  Event 230: EV230 @ (46,51)
  Event 231: EV231 @ (56,62)
  Event 232: EV232 @ (66,64)
  Event 233: EV233 @ (45,42)
  Event 234: EV234 @ (64,64)
  Event 235: EV235 @ (64,58)
  Event 236: EV236 @ (39,17)
  Event 237: EV237 @ (43,1)
  Event 238: EV238 @ (37,22)
  Event 239: EV239 @ (45,48)
  Event 240: EV240 @ (62,64)
  Event 241: EV241 @ (53,54)
  Event 242: EV242 @ (42,18)
  Event 243: EV243 @ (36,21)
  Event 244: EV244 @ (48,9)
  Event 245: EV245 @ (44,25)
  Event 246: EV246 @ (40,46)
  Event 247: EV247 @ (55,55)
  Event 248: EV248 @ (66,62)
  Event 249: EV249 @ (62,65)
  Event 250: EV250 @ (39,50)
  Event 251: EV251 @ (30,21)
  Event 252: EV252 @ (38,11)
  Event 253: EV253 @ (39,12)
  Event 254: EV254 @ (31,22)
  Event 255: EV255 @ (34,31)
  Event 256: EV256 @ (45,56)
  Event 257: EV257 @ (45,47)
  Event 258: EV258 @ (40,18)
  Event 259: EV259 @ (37,2)
