Map 13: terminal room  (50x30, tileset=3)

  Event 1: exit left @ (24,14)
  Event 2: exit left @ (25,14)
  Event 3: Map Events @ (22,11)
    Page1: trigger=3  <face @niko These machines look like computers.> | <face @ed [What's left of a computer terminal.]>
  Event 4: indoors @ (28,11)
  Event 5: exit left @ (13,15)
  Event 6: exit left @ (14,15)
  Event 7: exit left @ (15,15)
  Event 8: exit left @ (16,15)
  Event 9: exit left @ (17,15)
  Event 10: exit left @ (18,15)
  Event 11: exit left @ (19,15)
  Event 12: exit left @ (20,15)
  Event 13: exit left @ (21,15)
  Event 14: exit left @ (22,15)
  Event 15: exit left @ (23,15)
  Event 16: exit left @ (26,15)
  Event 17: exit left @ (27,15)
  Event 18: exit left @ (28,15)
  Event 19: exit left @ (29,15)
  Event 20: exit left @ (30,15)
  Event 21: exit left @ (32,15)
  Event 22: exit left @ (31,15)
  Event 23: exit left @ (33,15)
  Event 24: exit left @ (34,15)
  Event 25: exit left @ (35,15)
  Event 26: exit left @ (36,15)
