Map 14: Outpost  (90x50, tileset=2)

  Event 1: west exit @ (11,14)
  Event 2: east exit @ (78,22)
  Event 3: outpost entrance @ (27,22)
  Event 4: EV004 @ (20,11)
  Event 5: factory entrance @ (64,32)
  Event 6: prophet @ (29,23)
    Page1: trigger=3  <face @prophet [Ah!]>
    Page2: trigger=3  <face @prophet [Ah!]>
    Page3: trigger=3  <face @prophet [That Lightbulb...! You Are Here!]> | <face @niko M- \.\.\@niko2 me?> | <face @prophet [Yes!]> | <face @prophet [Welcome To Our World, Friend!]> | <face @prophet [I Am Most Humbled By Your Presence.\. Yes!]> | <face @niko Uh, thanks...> | <face @niko2 ...> | <face @niko3 .\..\..> | <face @niko_eyeclosed Sorry...\.\. I'm a little lost...> | <face @prophet [Ah Right!\.\. Allow Me To Explain Some Things.]> | <face @prophet [May I First Ask How You Arrived Here?]> | <face @niko3 I'm... not sure...> | <face @niko2 I woke up in this...\.\. weird house.\>\n\@niko_speak It was really dark!> | <face @prophet_omg [Oh!] \>\n\@prophet [So You Woke Up In An Unfamiliar, Dark Location?]> | <face @niko Mhm!> | <face @prophet_omg [Just As My Prophecy Foretold. Yes!]> | <face @prophet [You Are The Savior We Have Been Waiting For!]> | <face @prophet [You Will Be The One To Save Our World From Eternal Darkness.]> | <face @niko2 ...um.> | <face @prophet [I Will Now Provide You With Vital Information!]> | <face @prophet [Please Ask Me Anything!]> | <face @Niko Ah, well....> | <face @niko_speak Can you tell me about...> | <face @prophet [\p Is The Name Of Our God.]> | <face @prophet [Always Look To Them For Guidance.]\>\n[You've Already Received More Than You Realize...]> | <face @niko When I woke up in that house...\>\n\@niko_speak For some reason, I called out a name.> | <face @niko "\p".> | <face @niko_eyeclosed I'm not sure why I did that.\>\n\@niko_speak But then, I saw it on a computer too!> | <face @prophet_omg [Ah,\.\. That Would Be Our God!]> | <face @niko_pancakes Oh!\> Right!\>\n\@niko I... think I...> | <face @niko3 ...I feel like I remember something about that.> | <face @prophet_omg [You do?]> | <face @prophet_hmm [But wait... Did You Not Just Arrive Here?]> | <face @prophet_hmm [I Was The One Who Was Supposed To Inform You Of That.]> | <face @prophet [So... How Did You Know?]> | <face @niko_speak ... \>\@niko ...hm...> | <face @niko_eyeclosed It just made sense, I guess!> | <face @prophet_hmm [Ah...]> | <face @prophet_omg [Have You Already Contacted \p, Then?]> | <face @niko Nope!\>\nI just have to close my eyes and focus, right?> | <face @niko_eyeclosed2 ...hey, \p? ...God?> | <face @niko_eyeclosed This is going to sound weird, but... \>\n\@niko_eyeclosed2 Have we... met... before?> | <face > | <face @niko_eyeclosed2 Ah!\>\n\@niko_eyeclosed But...I don't know who you are, though...> | <face @niko_eyeclosed It's just a weird feeling that I have...> | <face @niko_eyeclosed2 Oh... I bet I'm just being silly, aren't I...> | <face @niko_eyeclosed Sorry...> | <face @niko_eyeclosed Ah, I thought not...> | <face @niko_eyeclosed2 That was a silly question...> | <face @niko_eyeclosed But...\.\. it's nice to meet you, \p!> | <face @niko_eyeclosed My name is Niko!> | <face @niko_speak I just contacted \p, yeah!> | <face @prophet [Do Not Be Afraid To Ask \p For Assistance.]\>\n[You Are The Messiah After All.]> | <face @prophet [Remember Your Duty.]> | <face @prophet [The Name Of Our God Is Apparently \p.\nI Must Admit This Is A Surprise...]> | <face @prophet [\p Is The Name Of Our God.]> | <face @prophet [Always Look To Them For Guidance.]\>\n[You've Already Received More Than You Realize...]> | <face @niko In the house, I found this... computer.> | <face @niko It kept saying stuff like\n\>\@niko_speak "Your actions here will affect Niko."> | <face @niko_speak But... \.\. \c[3]I'm\c[0] Niko!> | <face @niko Are those messages meant for someone else?> | <face @prophet_hmm [Hm...]> | <face @prophet [If I Had To Guess, They Might Be Trying To Pass The Message To \p.]> | <face @niko ... \p?> | <face @prophet_omg [Ah,\.\. That Would Be Our God!]> | <face @prophet [If You Are Here, That Means \p Is Here Also.]> | <face @prophet [\p Will Provide Guidance For Your Journey.]> | <face @prophet [In Fact, They Already Have.]> | <face @niko_speak Really?> | <face @niko I haven't seen anyone though...> | <face @prophet [Have You...\.\. Not Contacted \p Yet?]> | <face @niko I don't think so.> | <face @prophet [Being The Bringer Of Our Sun, You Have The Sacred Ability To Communicate Directly With \p.]> | <face @prophet_hmm [...An Ability That No One Else Possesses, Certainly Not I.]> | <face @prophet [Please Close Your Eyes And Focus.]> | <face @niko_eyeclosed Alright...> | <face @niko_eyeclosed Hello?> | <face @niko_eyeclosed ...\p?\nAre you... \| there?> | <face > | <face @niko_eyeclosed2 Oh!> | <face @niko_eyeclosed2 N-\. nice to meet you, \p!> | <face @niko_eyeclosed My name is Niko!> | <face @niko_eyeclosed O-\|oh...> | <face @niko_eyeclosed Well.\..\..\. what is your name, then?> | <face @niko_eyeclosed But that's... what I said.> | <face @niko_eyeclosed2 Oh! Your name is... \>\n\@niko_what ...> | <face @niko_eyeclosed2 I don't think I'm supposed to say that word, but...> | <face @niko_pancakes Really? \>\nThat's your name too?> | <face @niko_speak Oh! \>\n\@niko That's almost the same as my name...> | <face @niko_speak In fact, I think they're actually pronounced the same!> | <face @niko_eyeclosed2 Is that your... name?> | <face @niko_eyeclosed But I already have parents...> | <face @niko_eyeclosed This'll be confusing...> | <face @niko_eyeclosed Anyways...> | <face @niko_what ....really?\>\n\@niko_what2 That's... your name?> | <face @niko_eyeclosed2 Gross!\>\n\@niko_eyeclosed Er... I mean....> | <face @niko_eyeclosed2 N-\. nice to meet you, \p!> | <face @niko_eyeclosed My name is Niko!> | <face @niko_speak I actually heard someone! \>\n\@niko They said their name is \p, though...> | <face @niko_pancakes This is incredible...> | <face @prophet_hmm [It Seems The Recorded Name Was Incorrect.]> | <face @prophet [Updating Database...]> | <face @niko Hm?> | <face @prophet [Update Complete.]> | <face @niko_speak I actually heard someone! \>\n\@niko_pancakes They told me their name is actually \p!> | <face @niko_pancakes The same as mine!> | <face @prophet [Ah. Perhaps It Was Fate.]> | <face @prophet_hmm [But It Seems The Recorded Name Was Incorrect.]> | <face @prophet [Updating Database...]> | <face @niko Hm?> | <face @prophet [Update Complete.]> | <face @niko_speak I actually heard someone!\>\n\@niko_pancakes They told me their name is actually \p!> | <face @niko_pancakes It sounds just like my name!> | <face @prophet [Ah. Perhaps It Was Fate.]> | <face @prophet_hmm [But It Seems The Recorded Name Was Incorrect.]> | <face @prophet [Updating Database...]> | <face @niko Hm?> | <face @prophet [Update Complete.]> | <face @niko_speak I actually heard someone! \>\n\@niko They said their name is \p...> | <face @niko_wtf2 I still don't think I should be saying that...> | <face @prophet [Why?]> | <face @niko_eyeclosed It's a bad word!> | <face @prophet [Bad...\.\. Word?]> | <face @niko_eyeclosed Nevermind.> | <face @prophet_hmm [It Seems The Recorded Name Was Incorrect.]> | <face @prophet [Updating Database...]> | <face @niko Hm?> | <face @prophet [Update Complete.]> | <face @niko_speak I actually heard someone! \>\n\@niko They said their name is \p...> | <face @niko_pancakes This is incredible...> | <face @prophet [Do Not Be Afraid To Ask \p For Assistance.]\n\>[You Are The Messiah After All.]> | <face @prophet [Remember Your Duty.]> | <face @prophet [Surely You Have More Questions!]> | <face @niko I think that's all I have to ask for now.> | <face @prophet [Excellent!] \>\n[I Wish You Luck.]>
