Map 18: Cliffs  (100x120, tileset=2)

  Event 1: west exit @ (11,88)
  Event 2: !bigpool @ (38,103)
  Event 3: !bigpool @ (19,91)
  Event 4: north exit @ (41,14)
  Event 5: east exit @ (88,32)
  Event 6: vent @ (43,10)
  Event 7: vent @ (55,12)
  Event 8: vent @ (54,7)
  Event 9: FAST TRAVEL @ (47,89)
  Event 10: safe @ (52,55)
    Page0: trigger=0  <face @niko You want me use the crowbar to open the safe, \p? \>\nI'll... try!> | <face @niko ...> | <face @niko2 The door is sealed flush! \>\@niko_eyeclosed We might need the code after all...> | <face @niko A metal safe.\nSeems like it's locked with a 6-digit code.> | <face @niko I don't... remember seeing any 6-digit codes. Do you, \p?> | <face [ENTER CODE:]> | <face @niko_speak Woah! It worked!> | <face @niko2 Wait, how did you know the code,\n\p?\>\n\@niko_eyeclosed I still don't remember seeing one...> | <face > | <face @niko_speak Really?\>\n\@niko From who?> | <face > | <face @niko Okay...> | <face @niko I...\.\.see!> | <face > | <face @niko Oh! Right.\n\.\.Let's see...> | <face @niko_speak Ah! \.\. I found a gas mask!> | <face @niko ...> | <face @niko_speak Also... there's this weird-looking book!> | <face @niko I can't read it, though...> | <face @niko2 ...not that I can't read or anything! Because I can!> | <face @niko_eyeclosed I just don't know what language this is...> | <face @niko_eyeclosed That wasn't it...>
    Page1: trigger=0  <face @niko It's empty.>
  Event 11: gasmask off @ (63,9)
  Event 12: gasmask off @ (64,93)
  Event 13: EV013 @ (10,74)
  Event 14: EV014 @ (13,72)
  Event 15: EV015 @ (9,77)
  Event 16: EV016 @ (5,79)
  Event 17: EV017 @ (15,71)
  Event 18: EV018 @ (12,73)
  Event 19: EV019 @ (11,50)
  Event 20: EV020 @ (10,49)
  Event 21: EV021 @ (19,68)
  Event 22: EV022 @ (8,48)
  Event 23: EV023 @ (22,64)
  Event 24: EV024 @ (6,46)
  Event 25: EV025 @ (10,82)
  Event 26: EV026 @ (11,85)
  Event 27: EV027 @ (2,86)
  Event 28: EV028 @ (0,89)
  Event 30: EV030 @ (5,70)
  Event 31: EV031 @ (8,55)
  Event 32: EV032 @ (5,64)
  Event 33: EV033 @ (2,75)
  Event 34: EV034 @ (8,85)
  Event 36: EV036 @ (1,84)
  Event 37: EV037 @ (8,87)
  Event 39: EV039 @ (6,68)
  Event 40: EV040 @ (3,82)
  Event 41: EV041 @ (8,83)
  Event 42: EV042 @ (4,71)
  Event 43: EV043 @ (9,65)
  Event 44: EV044 @ (5,75)
  Event 48: EV048 @ (3,88)
  Event 49: EV049 @ (8,67)
  Event 51: EV051 @ (9,84)
  Event 52: EV052 @ (5,72)
  Event 53: EV053 @ (4,76)
  Event 55: EV055 @ (6,88)
  Event 56: EV056 @ (6,70)
  Event 57: EV057 @ (4,80)
  Event 58: EV058 @ (10,84)
  Event 59: EV059 @ (7,81)
  Event 60: EV060 @ (4,74)
  Event 62: EV062 @ (4,89)
  Event 65: EV065 @ (9,80)
  Event 66: EV066 @ (1,88)
  Event 67: EV067 @ (7,84)
  Event 68: EV068 @ (5,81)
  Event 69: EV069 @ (4,73)
  Event 70: EV070 @ (10,86)
  Event 72: EV072 @ (4,84)
  Event 73: EV073 @ (12,75)
  Event 74: EV074 @ (7,68)
  Event 75: EV075 @ (4,78)
  Event 82: EV082 @ (21,66)
  Event 86: EV086 @ (25,63)
  Event 88: EV088 @ (27,64)
  Event 89: EV089 @ (21,72)
  Event 90: EV090 @ (16,75)
  Event 91: EV091 @ (27,77)
  Event 92: EV092 @ (8,79)
  Event 94: EV094 @ (6,85)
  Event 95: EV095 @ (27,44)
  Event 96: EV096 @ (30,47)
  Event 97: EV097 @ (32,45)
  Event 98: EV098 @ (29,40)
  Event 99: EV099 @ (17,39)
  Event 103: EV103 @ (27,34)
  Event 105: EV105 @ (25,35)
  Event 107: EV107 @ (34,36)
  Event 109: EV109 @ (39,36)
  Event 110: EV110 @ (35,44)
  Event 111: EV111 @ (68,73)
    Page0: trigger=0  <face $Although the poisonous gas is highly localized to the vent zones, Barrens workers were still recommended to wear gas masks.> | <face $These masks were mandatory around active vent sites, of course.> | <face $As more and more of the workforce got replaced by robots, we found ourselves with a surplus of abandoned gas masks.> | <face $It seemed like a waste to get rid of them all, so we kept a few for emergencies.>
  Event 112: EV112 @ (42,52)
    Page0: trigger=0  <face $The sun will not return and the abyss is calling my name.> | <face $I'm sorry, everyone...> | <face $...for choosing to leave before the darkness suffocates us all.> | <face @niko ...>
  Event 113: EV113 @ (75,53)
    Page0: trigger=0  <face @niko A torn page with faded ink.> | <face $XX/XX/XX\n\nWith the mining operations going smoothly, materials are no longer our limiting factor.> | <face $We will be able to build more resilient robots, both in body and mind.> | <face $Specifically, the discovery of metal alloy 291 will likely allow the development of highly efficient circuitry.>
  Event 114: glitch pixel @ (51,52)
    Page1: trigger=3  <face @niko_speak What IS that?>
  Event 115: EV115 @ (51,57)
  Event 116: EV116 @ (52,57)
  Event 117: EV117 @ (53,57)
  Event 118: EV118 @ (54,57)
  Event 119: EV119 @ (50,57)
  Event 120: EV120 @ (49,57)
  Event 121: EV121 @ (17,64)
