Map 19: Docks  (70x80, tileset=2)

  Event 1: south exit @ (10,69)
  Event 2: north exit @ (24,11)
  Event 3: entrance @ (22,28)
  Event 4: !bigpool @ (25,57)
  Event 5: !smallpool @ (12,74)
  Event 6: npc_rowbot @ (31,47)
    Page0: trigger=0  <face @rowbot [.\..\..\..]> | <face @rowbot [OH!]> | <face @rowbot [THIS IS AMBER FROM THE GLEN.]> | <face @rowbot [I CAN REMEMBER NOW!]> | <face @rowbot [ACTIVATING TRACKING SYSTEM...]> | <face @rowbot [SETTING COURSE...]> | <face @rowbot [WAIT.\>\nTHIS BOAT IS OVER CAPACITY.]> | <face @rowbot [YOU'LL NEED TO LEAVE BEHIND SOME OF YOUR POSSESSIONS.]> | <face @niko Oh.\>\n\@niko_eyeclosed Well... I don't think I'll be needing this crowbar anymore...\>\nOr this gas mask and gloves...> | <face @rowbot [THAT IS ACCEPTABLE.\>\nONWARDS WE GO.]> | <face @niko um.... \p?> | <face @niko Is it alright if... you let me take a nap somewhere before we go?> | <face @niko_eyeclosed I'm so tired I can't even see straight anymore...> | <face @rowbot [HAVE YOU TALKED TO THE HEAD ENGINEER YET?]> | <face @rowbot [SHE LIVES NEAR THE MINE ENTRANCE.]> | <face @rowbot [I  WOULD HAVE GIVEN YOU THE COORDINATES, BUT...]> | <face @niko_speak I need something I can use to wash the robot with!> | <face @niko_eyeclosed A sponge alone isn't going to remove all this rust...> | <face @niko Alright.... hold still...> | <face @rowbot [I HAVE NO OTHER CHOICE.]> | <face @niko_speak There!> | <face @niko How's that?> | <face @rowbot [...I... ]> | <face @rowbot [...CAN MOVE AGAIN.]> | <face @rowbot [THANK YOU!]> | <face @rowbot [I AM ABLE TO FULFILL MY PURPOSE AGAIN.]> | <face @rowbot [WHERE WOULD YOU LIKE TO GO?]> | <face @niko_speak Can you take me to the Tower?> | <face @rowbot [CALCULATING...]> | <face @rowbot [CLOSEST DESTINATION TO THE TOWER IS...]> | <face @rowbot [THE GLEN, PORT NUMBER - ]> | <face @rowbot [MY BUILT-IN NAVIGATION CIRCUITS HAVE FRIED.]> | <face @niko_speak I'm.... \.\. \@niko_eyeclosed gonna assume that's not good.> | <face @rowbot [IT IS NOT GOOD AT ALL.]> | <face @rowbot [ONCE AGAIN I CANNOT FOLLOW MY PROGRAMMING.]> | <face @niko Aw...> | <face @niko_speak Is there anything I can do to help?> | <face @rowbot [IN THE EVENT OF AN ERROR, YOU SHOULD SPEAK WITH THE HEAD ENGINEER.]> | <face @rowbot [SHE WILL KNOW WHAT TO DO.]> | <face @niko_speak Wait! I need to protect my hands!> | <face @niko_eyeclosed I don't wanna burn off my fingers...> | <face @niko Hang in there!> | <face @rowbot [I AM FUNCTIONAL!]> | <face @rowbot [WAS IT YOU WHO FIXED THE GENERATOR?]> | <face @niko_speak Well, \p helped me!> | <face @niko But yeah!> | <face @rowbot [HELLO. NICE TO MEET YOU.]> | <face @rowbot [I AM ROWBOT #310.]> | <face @rowbot [WOULD YOU LIKE ME TO TAKE YOU SOMEWHERE?]> | <face @rowbot [...]> | <face @rowbot [...]> | <face @niko_speak Are you... okay?> | <face @rowbot [I CANNOT MOVE.]> | <face @niko_eyeclosed Well, you're still really rusty...> | <face @rowbot [THAT IS TRUE.]> | <face @niko Hold on... \p and I will find a way to help you!> | <face @niko I don't...think this battery is supposed to be for the robot...> | <face @niko_speak Um... hello?> | <face @rowbot_off  ...> | <face @niko ...> | <face @niko This robot doesn't have power.> | <face @niko_speak It might help us get across the ocean if we fix it!> | <face @niko \p, are you there?> | <face > | <face @niko_speak Oh, good!> | <face @niko_eyeclosed Aw, bummer!> | <face @niko ...wait. \.\.\@niko_speak You just answered me!> | <face @niko_eyeclosed ...you sure have a sense of humor, \p...> | <face @niko_speak There's a robot here, attached to a boat.> | <face @niko It doesn't seem to have power, and its joints are rusted over as well.> | <face @niko_speak But I think we should be able to fix it!> | <face @niko After all, we'll need to cross this ocean to get to the Tower...>
    Page1: trigger=0  <face @rowbot [`P%\.\.#L\.E  A\.SE D0 \.N0@\.\. T AP \.PRO%\.\.4AC \.\.H]> | <face @niko Oh no!\>\nIs there anything I can do to help?> | <face @rowbot [IT\. % \.\.IS DA-`\.NGER\.OU%S TO T\.\.RY A  ND A \.$SIS\.T M  E.]> | <face @rowbot [L\.\.EA\.VE  `\.T#HIS A\.R`E \.A.]> | <face @niko3 ...> | <face @niko2 Oh no...\>\nIt's some weird... square stuff?>
  Event 7: !smallpool @ (25,19)
  Event 8: !smallpool @ (28,23)
  Event 9: !smallpool @ (13,28)
  Event 10: !smallpool @ (17,32)
  Event 11: !smallpool @ (26,31)
  Event 12: !smallpool @ (15,38)
  Event 13: !smallpool @ (14,43)
  Event 14: !smallpool @ (11,59)
  Event 15: !smallpool @ (14,63)
  Event 16: EV016 @ (38,66)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 17: FAST TRAVEL @ (22,30)
  Event 18: rowbot tile @ (32,47)
  Event 19: gasmask off @ (21,9)
  Event 20: EV020 @ (44,58)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 21: EV021 @ (37,72)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 22: EV022 @ (40,40)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 23: EV023 @ (39,33)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 24: EV024 @ (38,28)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 25: EV025 @ (40,17)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
  Event 26: EV026 @ (32,68)
  Event 27: EV027 @ (33,67)
  Event 28: EV028 @ (34,65)
  Event 29: EV029 @ (35,64)
  Event 30: EV030 @ (36,64)
  Event 31: EV031 @ (37,63)
  Event 32: EV032 @ (38,62)
  Event 33: EV033 @ (39,61)
  Event 34: EV034 @ (40,61)
  Event 35: EV035 @ (26,46)
  Event 36: EV036 @ (27,45)
  Event 37: EV037 @ (28,44)
  Event 38: EV038 @ (29,44)
  Event 39: EV039 @ (30,44)
  Event 40: EV040 @ (31,43)
  Event 41: EV041 @ (32,43)
  Event 42: EV042 @ (33,41)
  Event 43: EV043 @ (34,41)
  Event 44: EV044 @ (35,41)
  Event 45: EV045 @ (34,36)
  Event 46: EV046 @ (34,26)
  Event 47: EV047 @ (35,22)
  Event 48: EV048 @ (36,11)
  Event 49: EV049 @ (37,6)
  Event 50: EV050 @ (38,6)
  Event 51: EV051 @ (38,54)
  Event 52: EV052 @ (39,54)
  Event 53: EV053 @ (40,53)
  Event 54: EV054 @ (41,53)
  Event 55: EV055 @ (42,53)
  Event 56: EV056 @ (38,21)
  Event 57: EV057 @ (43,10)
  Event 58: EV058 @ (38,36)
  Event 59: EV059 @ (36,51)
  Event 60: EV060 @ (42,66)
  Event 61: EV061 @ (47,77)
  Event 62: EV062 @ (33,69)
  Event 63: EV063 @ (40,72)
  Event 64: EV064 @ (35,46)
  Event 65: EV065 @ (41,42)
  Event 66: EV066 @ (41,32)
  Event 67: EV067 @ (39,23)
  Event 68: EV068 @ (33,43)
  Event 69: EV069 @ (36,44)
  Event 70: EV070 @ (32,45)
  Event 71: EV071 @ (38,24)
  Event 72: EV072 @ (35,51)
  Event 73: EV073 @ (39,13)
  Event 74: EV074 @ (37,22)
  Event 75: EV075 @ (41,6)
  Event 76: EV076 @ (42,29)
  Event 77: EV077 @ (41,68)
  Event 78: EV078 @ (44,77)
  Event 79: EV079 @ (34,49)
  Event 80: EV080 @ (39,35)
  Event 81: EV081 @ (37,38)
  Event 82: EV082 @ (38,13)
  Event 83: EV083 @ (39,24)
  Event 84: EV084 @ (43,74)
  Event 85: EV085 @ (40,64)
  Event 86: EV086 @ (43,1)
  Event 87: EV087 @ (40,10)
  Event 88: EV088 @ (37,21)
  Event 89: EV089 @ (38,27)
  Event 90: EV090 @ (41,37)
  Event 91: EV091 @ (39,43)
  Event 92: EV092 @ (37,49)
  Event 93: EV093 @ (42,62)
  Event 94: EV094 @ (42,71)
  Event 95: EV095 @ (38,73)
  Event 96: EV096 @ (48,77)
  Event 97: EV097 @ (37,69)
  Event 98: EV098 @ (35,53)
  Event 99: EV099 @ (41,55)
  Event 100: EV100 @ (35,43)
  Event 101: EV101 @ (37,31)
  Event 102: EV102 @ (38,15)
  Event 103: EV103 @ (40,9)
  Event 104: EV104 @ (43,7)
  Event 105: EV105 @ (43,17)
  Event 106: EV106 @ (41,22)
  Event 107: EV107 @ (39,1)
  Event 108: EV108 @ (41,12)
  Event 109: EV109 @ (38,9)
  Event 110: EV110 @ (35,26)
  Event 111: EV111 @ (36,31)
  Event 112: EV112 @ (37,42)
  Event 113: EV113 @ (35,35)
  Event 114: EV114 @ (34,47)
  Event 115: EV115 @ (37,54)
  Event 116: EV116 @ (44,61)
  Event 117: EV117 @ (40,67)
  Event 118: EV118 @ (42,77)
  Event 119: EV119 @ (35,68)
  Event 120: EV120 @ (28,49)
  Event 121: EV121 @ (46,27)
  Event 122: EV122 @ (40,0)
  Event 123: EV123 @ (41,11)
  Event 124: EV124 @ (40,26)
  Event 125: EV125 @ (37,35)
  Event 126: EV126 @ (38,44)
