Map 21: Bed room  (50x30, tileset=3)

  Event 1: exit @ (24,14)
  Event 2: exit @ (25,14)
  Event 3: pipe :bottom @ (29,16)
    Page0: trigger=0  <face @niko It's a metal pipe.> | <face @niko Must've broken off from one of these terminals...> | <face @ed It's a broken-off section of railing.> | <face @ed Niko takes it.>
  Event 4: !bed @ (13,17)
  Event 5: indoors @ (27,10)
  Event 6: nopass @ (14,17)
  Event 7: nopass @ (14,16)
  Event 8: nopass @ (13,16)
  Event 9: map event @ (15,12)
    Page0: trigger=3  <face @niko I'm not sleepy anymore.> | <face @ed [This bed probably looks familiar to you, \p]> | <face @ed [Niko first woke up in this world here.]> | <face @ed [It's important that you allow Niko to sleep once in a while.]> | <face @ed [The game will exit automatically and can be continued later. Don't be alarmed.]> | <face @ed [But now is no time for rest.]> | <face @niko_eyeclosed I'm a little tired from walking.> | <face @niko_speak Is it alright if I take a nap?> | <face > | <face @niko_eyeclosed Ah, well... \>\n\@niko I suppose there's more work to do.> | <face >
    Page1: trigger=3  <face @niko These machines look like computers.> | <face @ed [What's left of a computer terminal.]>
  Event 10: exit left @ (13,15)
  Event 11: exit left @ (14,15)
  Event 12: exit left @ (15,15)
  Event 13: exit left @ (16,15)
  Event 14: exit left @ (17,15)
  Event 15: exit left @ (18,15)
  Event 16: exit left @ (19,15)
  Event 17: exit left @ (20,15)
  Event 18: exit left @ (21,15)
  Event 19: exit left @ (22,15)
  Event 20: exit left @ (23,15)
  Event 21: exit left @ (26,15)
  Event 22: exit left @ (27,15)
  Event 23: exit left @ (28,15)
  Event 24: exit left @ (29,15)
  Event 25: exit left @ (30,15)
  Event 26: exit left @ (31,15)
  Event 27: exit left @ (32,15)
  Event 28: exit left @ (33,15)
  Event 29: exit left @ (34,15)
  Event 30: exit left @ (35,15)
  Event 31: exit left @ (36,15)
