Map 29: Village  (104x74, tileset=4)

  Event 1: south exit @ (28,54)
  Event 2: east exit @ (92,37)
  Event 3: ram @ (79,46)
  Event 4: ram @ (78,38)
  Event 5: ram @ (72,41)
  Event 6: ram @ (70,32)
  Event 7: ram @ (82,37)
  Event 8: ram @ (84,50)
  Event 9: ram @ (87,44)
  Event 10: farmer @ (71,25)
    Page0: trigger=0  <face The crops have been growing poorly without the sun...\nAnd there's no telling how long our surpluses will last.> | <face Please, savior, you have to hurry!> | <face @niko_speak I...> | <face @niko I'll do my best.>
  Event 11: moss npc @ (12,36)
    Page0: trigger=0  <face Most of the green moss covering our village has already lost its glow...> | <face If it wasn't for the thin strip left on the boundaries of the land, people could easily fall into the ocean.> | <face Without light, land and water becomes indistinguishable here.>
  Event 12: friendly child npc @ (38,29)
    Page0: trigger=0  <face Wooow!> | <face Is that the sun?> | <face @niko_speak Yeah!> | <face And you're holding it?> | <face Isn't it hot?> | <face @niko Not really!> | <face @niko It's nice and warm!> | <face Wooow!> | <face Your eyes glow in the dark!> | <face @niko_speak Yeah!> | <face Just like the sun!> | <face @alula_speak That's what I said!>
  Event 13: worried npc @ (50,24)
    Page0: trigger=0  <face The land is fragmenting at an alarming rate...> | <face I don't like to think about the day when this town finally loses to the intruding sea.> | <face We'll have to find another place to settle...>
  Event 14: house1 door @ (23,27)
  Event 15: house2 door @ (32,33)
  Event 16: house3 door @ (35,28)
  Event 17: house4 door @ (42,35)
  Event 18: house5 door @ (44,28)
  Event 19: house6 door @ (52,29)
  Event 20: house7 door @ (43,43)
  Event 21: decorative bell @ (57,33)
  Event 22: decorative bell @ (65,31)
  Event 23: ram bell @ (85,56)
  Event 24: ram bell @ (84,61)
  Event 25: ram bell @ (81,62)
  Event 26: ram bell @ (78,61)
  Event 27: solved ram @ (83,59)
  Event 28: solved ram @ (80,59)
  Event 29: solved ram @ (79,63)
  Event 30: solved ram @ (80,65)
  Event 31: sokoram A @ (84,59)
  Event 32: ram quest check @ (81,57)
    Page0: trigger=3  <face @shepherd You've provided a great service for all of ramkind.\nIn return...\.\nTake this fine ram wool.> | <face @niko Oh, uh... thanks.>
  Event 33: sokoram D @ (85,60)
  Event 34: sokoram C @ (82,60)
  Event 35: sokoram B @ (80,60)
  Event 36: sokoram E @ (82,63)
  Event 37: solved ram @ (85,61)
  Event 38: shephard @ (86,37)
    Page0: trigger=0  <face @shepherd My rams clock at 1333 megaherds.> | <face @niko ...what?> | <face @shepherd You're heading to the city, aren't you?> | <face @shepherd Been there, done that.> | <face @shepherd Too cramped, you know?> | <face @shepherd But it's not like this place is getting any bigger with the rising waters and all.> | <face @shepherd Hm...maybe the city isn't so bad after all...> | <face @shepherd The rams are all standing in unfortunate spots.\nYou need to move them onto the darker moss.> | <face @shepherd If you get stuck, ring a bell and they'll all return to their original positions.> | <face @shepherd Good luck.> | <face @niko Hello.> | <face @shepherd Hm...\nI need someone to help me herd my rams...> | <face @niko_speak Oh! \.\@niko I can do that!> | <face @niko I've seen some grownups do it back home... \@niko_speak You kinda just push them around!> | <face @shepherd Hmm...\.\.But you are carrying the sun.> | <face @niko_eyeclosed Ah...> | <face @niko_speak Wait, can't you just... watch the sun for me?> | <face @shepherd I cannot.\nI am but a simple shepherd.> | <face @niko_eyeclosed Um... okay...> | <face @shepherd Come back when your hands are free. You will be rewarded if you can herd my rams.> | <face @shepherd Oh. I see your hands are now free.> | <face @shepherd Would you like to help me herd my rams?\nThere's a great reward in store for you, I promise.> | <face @niko Uh...> | <face @shepherd Excellent!\nTo the south is a peninsula inhabited by my rams.> | <face @shepherd They are all standing in unfortunate spots.\nYou need to move them onto the darker moss.> | <face @shepherd If you get stuck, ring a bell and they'll all return to their original positions.> | <face @shepherd Good luck.> | <face @niko Looks like we gotta herd some rams now, Alula.> | <face @alula Can I help?> | <face @niko_speak Sure!> | <face @shepherd Very well.\> Come back when you reconsider.>
  Event 39: init @ (8,33)
  Event 40: decorative bell @ (25,34)
  Event 41: decorative bell @ (30,26)
  Event 42: decorative bell @ (30,44)
  Event 43: decorative bell @ (27,44)
  Event 44: decorative bell @ (48,29)
  Event 45: FAST TRAVEL @ (42,36)
  Event 46: south exit @ (29,54)
  Event 47: EV047 @ (24,46)
  Event 48: EV048 @ (25,46)
  Event 49: EV049 @ (27,46)
  Event 50: EV050 @ (30,46)
  Event 51: EV051 @ (31,46)
  Event 52: EV052 @ (15,46)
  Event 53: EV053 @ (34,44)
  Event 54: EV054 @ (26,46)
  Event 55: EV055 @ (23,47)
  Event 56: ram @ (69,27)
  Event 57: EV057 @ (43,21)
  Event 58: EV058 @ (32,46)
  Event 59: EV059 @ (33,46)
  Event 60: EV060 @ (23,44)
  Event 61: EV061 @ (21,43)
