Map 33: House 4 - squares  (40x30, tileset=5)

  Event 1: door @ (18,12)
  Event 2: fisherman npc @ (16,15)
    Page0: trigger=0  <face Squares are bad news, man. \>\nStay away from 'em, kids!> | <face @alula We will!> | <face Stay away from the squares, okay?> | <face @niko Mhm!> | <face Last week, I saw more of those squares while out fishing.> | <face I knew better than to get too close, though.> | <face @alula_oh Oh! \>\@alula_pout It was that stuff in the door...> | <face Oh, so you saw it too, huh...> | <face @alula_oh Yeah! \>\@alula_pout My brother told me not to touch those!> | <face Yeup. He gets it.> | <face Last week, I saw more of those squares while out fishing.> | <face I knew better than to get too close, though.> | <face @niko Squares?> | <face Squares, man.\nThey're bad news.>
  Event 3: coals @ (14,17)
  Event 4: coals @ (15,17)
  Event 5: fireflies @ (18,17)
  Event 6: fireflies @ (19,17)
  Event 7: fireflies @ (17,17)
  Event 8: EV008 @ (17,19)
  Event 9: EV009 @ (18,19)
  Event 10: EV010 @ (19,19)
  Event 11: indoors @ (13,9)
  Event 12: EV012 @ (21,16)
  Event 13: EV013 @ (22,16)
  Event 14: EV014 @ (21,14)
  Event 15: EV015 @ (22,14)
  Event 16: EV016 @ (14,13)
  Event 17: EV017 @ (22,13)
