Map 37: Ruins Out  (84x84, tileset=4)

  Event 1: decorative bell @ (40,31)
  Event 2: west exit @ (11,19)
  Event 3: trader @ (26,35)
  Event 4: EV004 @ (46,32)
  Event 5: Map Events @ (29,30)
    Page0: trigger=3  <face @niko I think I have something I'd like to trade!\>\n\@niko_speak You'll take wool, right?\>\n\@niko What can this wool get me?> | <face @magpie_hm Wool, huh?> | <face @magpie That'll get you.\..\..\.\.This fine vial of...> | <face @magpie_smile I'm not sure what this is, actually!\>\nSome sort of fabric dye?> | <face @niko Hmm... How about it, \p?> | <face @niko_speak I'll do it!> | <face @magpie_smile Pleasure doing business!> | <face @niko Wait, \p... you want to...haggle?\>\n\@niko_what ...really?> | <face @niko_eyeclosed Alright then...> | <face @niko_speak \p said they wanted a better offer!> | <face @magpie_oh ...holy smokes!\>\n\@magpie_smile Forgot I was doing a trade with god for a second there...> | <face @magpie Okay, okay...\>\n\@magpie_smile In that case, I'll also throw in this commemorative T-shirt!> | <face @niko Uh...> | <face @magpie_smile Pleasure doing business!> | <face @magpie Oh well, then.\nCome back anytime.> | <face @niko_eyeclosed \p, no...> | <face @magpie_oh Hey! I just gave that to you!> | <face @magpie_smile What, you wanna trade it back?> | <face @niko_eyeclosed Not really...> | <face @magpie Good, cuz I wasn't gonna!> | <face @magpie I ain't takin that back!> | <face @magpie_hm The shepherd was handing those out a while ago.\>\n\@magpie_smile But does it LOOK like it'll fit me?> | <face @niko Huh?> | <face @magpie_smile T-Shirts aren't exactly made for people with wings!> | <face @niko Wait, trade this?> | <face @niko_speak Don't you want to find out what it says first, \p?> | <face @magpie What's that? A book?> | <face @magpie_smile Uh, not sure if I wanna take books, I can't read!> | <face @magpie_oh I can't take this!> | <face @niko_eyeclosed I'm not trading that, \p!> | <face @magpie You're not trading what?> | <face @magpie What's that? A feather?> | <face @niko Mhm!> | <face @magpie_hm Wait... \.\.\@magpie_oh Oh my stars!> | <face @magpie_oh That is NOT "a" feather!> | <face @magpie That is a feather from the late Prophet!> | <face @magpie_oh Probably one of the most sacred items there is!> | <face @magpie_oh How in the WORLD did you get a hold of THAT?> | <face @magpie_hm ...Wait, I guess it would make sense for you to have one.> | <face @magpie_smile Y'know, with you being the savior and all.> | <face @niko Um... okay.> | <face @niko The seed left behind by the plant lady?> | <face @niko_huh Oh, but what if...\. it's like...\. her baby...> | <face @niko_speak I can't give away someone's baby like that!> | <face @niko_wtf2 Especially not to a bird...> | <face @magpie_oh ...hey!> | <face @niko_eyeclosed I don't think it's right to trade this away, \p ...> | <face @magpie_oh Oh hey! You have one of those coin things!> | <face @magpie I've dug up a couple of these before.> | <face @niko Oh?> | <face @magpie_smile Yeah! There's this guy who would trade me the BEST things for them.> | <face @niko Oh?> | <face @magpie Like, one time he brought me this little machine that plays music!> | <face @magpie_hm I don't know what it's called, but you have to wind it up...> | <face @niko_speak Music box?> | <face @magpie_smile That's it!> | <face @magpie I wish that guy would come back soon, I haven't seen him in forever.> | <face @magpie_smile I wanna do more trades with him!> | <face @niko How about this...glass tube full of water I got from a robot?> | <face @niko Do you like glass?> | <face @magpie_smile Do I!> | <face @niko ...do you?> | <face @magpie I LOVE glass!> | <face @magpie_smile SO much.> | <face @magpie_hm ...so much that I have too much glass and not enough other things.> | <face @magpie_hm I gotta get rid of some of my old bottles and vials to make room for new stuff!> | <face @magpie That's why I set up a tradepost in the first place.> | <face @niko_eyeclosed So I guess that's a no-go...> | <face @niko_eyeclosed \p... wasn't the whole point of trading was so that we could make a pen?> | <face @niko Let's not trade this away...> | <face @magpie_smile Pleasure doing business!> | <face @magpie Heya!\>\nYou here to trade?> | <face @niko Trade?> | <face @magpie_smile Yeah!\>\n\@magpie Is there anything you want to get rid of?> | <face @magpie Make me an offer and I'll give you something in return!> | <face @niko Hm...\>\n\@niko_speak Do we have something like that, \p?>
    Page1: trigger=3  <face @niko It's a wagon stuffed with stuff!> | <face @magpie_smile It sure is!>
    Page2: trigger=3  <face @niko Shiny things are spread out on the rug.> | <face @niko They glimmer in the sunlight.> | <face @niko They glimmer in the light of the lamp.> | <face @niko_speak Whoa!> | <face @niko_speak That's a lotta shiny things!> | <face @niko Glass shards, glass marbles...> | <face @niko ...empty glass bottles, mostly-empty glass bottles, glass bottles filled with different things...> | <face @niko ...bits of string, colored wool, plain wool, fabric scraps...> | <face @niko ...a rusty bucket, scrap metal, shells, some rocks...> | <face @niko_speak What's all this for, by the way?> | <face @magpie I just think they're neat!>
  Event 6: ram @ (27,40)
  Event 7: ruins entrance left @ (29,54)
    Page0: trigger=0  <face @niko_eyeclosed The doorway is full of vines, \p...>
  Event 8: ruins entrance right @ (30,54)
    Page0: trigger=0  <face @niko_eyeclosed The doorway is full of vines, \p...>
  Event 9: ruins entrance top left @ (29,53)
  Event 10: ruins entrance top right @ (30,53)
  Event 11: init @ (24,18)
  Event 12: FAST TRAVEL @ (29,55)
  Event 13: EV013 @ (44,34)
  Event 14: decorative bell @ (19,35)
  Event 15: EV015 @ (50,33)
  Event 16: EV016 @ (38,28)
  Event 17: EV017 @ (35,27)
  Event 18: EV018 @ (31,61)
  Event 19: EV019 @ (30,61)
  Event 20: EV020 @ (25,61)
  Event 21: EV021 @ (22,60)
  Event 22: EV022 @ (18,60)
  Event 23: EV023 @ (16,59)
  Event 24: EV024 @ (13,57)
  Event 25: EV025 @ (45,70)
  Event 26: EV026 @ (46,70)
  Event 27: EV027 @ (49,69)
  Event 28: EV028 @ (52,64)
  Event 29: EV029 @ (55,63)
  Event 30: EV030 @ (57,60)
  Event 31: EV031 @ (58,61)
  Event 32: EV032 @ (65,55)
  Event 33: EV033 @ (62,57)
  Event 34: EV034 @ (41,72)
  Event 35: EV035 @ (9,53)
  Event 36: EV036 @ (14,59)
  Event 37: EV037 @ (8,54)
  Event 38: EV038 @ (19,60)
  Event 39: EV039 @ (20,60)
  Event 40: EV040 @ (23,61)
  Event 41: EV041 @ (26,61)
  Event 42: EV042 @ (27,61)
  Event 43: EV043 @ (59,61)
  Event 44: EV044 @ (60,59)
  Event 45: EV045 @ (64,56)
  Event 46: EV046 @ (56,60)
  Event 47: EV047 @ (54,63)
  Event 48: EV048 @ (64,50)
  Event 49: EV049 @ (45,32)
  Event 50: EV050 @ (37,28)
  Event 51: EV051 @ (50,68)
  Event 52: EV052 @ (11,37)
  Event 53: EV053 @ (9,37)
  Event 54: EV054 @ (6,34)
  Event 55: EV055 @ (7,35)
  Event 56: EV056 @ (2,31)
  Event 57: EV057 @ (1,30)
  Event 58: EV058 @ (0,29)
  Event 59: EV059 @ (7,53)
  Event 60: EV060 @ (12,54)
  Event 61: EV061 @ (15,59)
  Event 62: EV062 @ (17,60)
  Event 63: EV063 @ (21,60)
  Event 64: EV064 @ (28,61)
  Event 65: EV065 @ (29,61)
  Event 66: EV066 @ (24,61)
  Event 67: EV067 @ (53,63)
  Event 68: EV068 @ (61,59)
  Event 69: EV069 @ (63,56)
  Event 70: EV070 @ (5,34)
  Event 71: EV071 @ (4,33)
  Event 72: EV072 @ (3,32)
  Event 73: EV073 @ (12,38)
  Event 74: EV074 @ (10,37)
  Event 75: EV075 @ (8,37)
  Event 76: EV076 @ (48,70)
  Event 77: EV077 @ (47,70)
  Event 78: EV078 @ (43,71)
  Event 79: EV079 @ (51,67)
  Event 80: EV080 @ (9,42)
  Event 81: EV081 @ (8,42)
  Event 82: EV082 @ (7,42)
  Event 83: EV083 @ (6,58)
  Event 84: EV084 @ (7,59)
  Event 85: EV085 @ (8,60)
  Event 86: EV086 @ (9,60)
  Event 87: EV087 @ (22,19)
  Event 88: EV088 @ (25,20)
  Event 89: EV089 @ (26,21)
  Event 90: EV090 @ (23,20)
  Event 91: EV091 @ (28,21)
  Event 92: EV092 @ (27,21)
  Event 93: EV093 @ (24,20)
  Event 94: EV094 @ (48,33)
  Event 95: EV095 @ (49,34)
  Event 96: EV096 @ (50,35)
  Event 97: EV097 @ (28,25)
  Event 98: EV098 @ (46,35)
  Event 99: EV099 @ (66,47)
  Event 100: EV100 @ (57,66)
  Event 101: EV101 @ (45,71)
  Event 102: EV102 @ (15,62)
  Event 103: EV103 @ (11,45)
  Event 104: EV104 @ (4,36)
  Event 105: EV105 @ (18,20)
  Event 106: EV106 @ (63,39)
  Event 107: EV107 @ (61,62)
  Event 108: EV108 @ (43,75)
  Event 109: EV109 @ (27,73)
  Event 110: EV110 @ (11,55)
  Event 111: EV111 @ (54,65)
  Event 112: EV112 @ (48,72)
  Event 113: EV113 @ (66,58)
  Event 114: EV114 @ (67,51)
  Event 115: EV115 @ (59,39)
  Event 116: EV116 @ (51,30)
  Event 117: EV117 @ (38,31)
  Event 118: EV118 @ (24,22)
  Event 119: EV119 @ (3,35)
  Event 120: EV120 @ (9,48)
  Event 121: EV121 @ (14,61)
  Event 122: EV122 @ (29,62)
  Event 123: EV123 @ (7,61)
  Event 124: EV124 @ (10,16)
  Event 125: EV125 @ (14,18)
  Event 126: EV126 @ (35,28)
  Event 127: EV127 @ (57,34)
  Event 128: EV128 @ (54,36)
  Event 129: EV129 @ (31,26)
  Event 130: EV130 @ (11,39)
  Event 131: EV131 @ (10,50)
  Event 132: EV132 @ (10,42)
  Event 133: EV133 @ (20,61)
  Event 134: EV134 @ (13,59)
  Event 135: EV135 @ (6,52)
  Event 136: EV136 @ (26,24)
