Map 43: Forest  (104x100, tileset=4)

  Event 1: north exit @ (39,21)
  Event 2: east exit @ (90,62)
  Event 3: EV003 @ (40,27)
  Event 4: EV004 @ (42,19)
    Page0: trigger=3  <face @calamus_unknown Alula?\>\nAlula? Where did you go?> | <face @niko_speak \p, did you hear that?> | <face @calamus_unknown Alula!> | <face @niko I think it's coming from south-east of here.>
  Event 5: EV005 @ (39,27)
  Event 6: EV006 @ (31,22)
  Event 7: EV007 @ (55,71)
  Event 8: EV008 @ (69,37)
  Event 9: EV009 @ (75,35)
  Event 10: EV010 @ (53,31)
  Event 11: EV011 @ (64,31)
  Event 12: EV012 @ (85,42)
  Event 13: EV013 @ (86,57)
  Event 14: EV014 @ (85,69)
  Event 15: EV015 @ (79,77)
  Event 16: EV016 @ (64,73)
  Event 17: EV017 @ (73,85)
  Event 18: EV018 @ (75,83)
  Event 19: EV019 @ (84,40)
  Event 20: EV020 @ (82,41)
  Event 21: EV021 @ (80,39)
  Event 22: EV022 @ (79,37)
  Event 23: EV023 @ (81,40)
  Event 24: EV024 @ (88,70)
  Event 25: EV025 @ (87,70)
  Event 26: robot standing @ (78,83)
    Page0: trigger=0  <face [WATER SAMPLE COLLECTION IN PROGRESS...]>
  Event 27: EV027 @ (87,52)
  Event 28: EV028 @ (86,56)
  Event 29: EV029 @ (65,34)
  Event 30: EV030 @ (73,34)
  Event 31: EV031 @ (67,79)
  Event 32: EV032 @ (63,74)
  Event 33: calamus trigger @ (59,48)
  Event 34: EV034 @ (30,69)
  Event 35: EV035 @ (24,61)
  Event 36: north exit @ (48,88)
  Event 37: calamus npc @ (60,46)
    Page1: trigger=3  <face @calamus_speak Hey! You there!> | <face @calamus Have you seen a little girl?> | <face @calamus She's a little bit shorter than you, and-> | <face @calamus_speak Wait...\.! That's... the sun.> | <face @calamus Are you our savior?> | <face @niko I... yeah?> | <face @calamus_shame Oh my stars!> | <face @calamus_shame Sorry for my rudeness!> | <face @niko Huh? It's alright...> | <face @niko_speak Are you looking for someone?> | <face @calamus_sad My little sister... she's been gone for three days now.> | <face @calamus I've been looking all over, but...> | <face @niko What does she look like?> | <face @calamus_speak Um...\. a little shorter than you, long blue hair, two blue feathers on top of her head...> | <face @niko I'm sorry, I haven't seen anyone like that...> | <face @niko_speak Where was the last place you saw her?> | <face @calamus_speak Back inside the ruins.> | <face @calamus She said she was headed towards the forest, so I'm waiting here now.> | <face @calamus_sad I ran out of places to look...>
    Page2: trigger=0  <face @alula_gasp Calamus!> | <face @calamus_speak Alula!> | <face @calamus You're okay!> | <face @calamus_sad Thank goodness...> | <face @niko Are you from the village?> | <face @calamus No...> | <face @calamus_speak I don't remember why, but our father left the village while we were still young.> | <face @calamus We've lived in the ruins ever since.> | <face @calamus_sad ...Well, it's just Alula and I now.> | <face @calamus_sad I can't lose her too...> | <face @calamus_speak Alula is all I have.\nI can't lose her...>
  Event 38: fireflies @ (62,44)
  Event 39: calamus npc 2 @ (64,44)
    Page1: trigger=3  <face @alula_pout I was trapped inside this room and it was really scary...> | <face @alula ...but then, the messiah saved me!> | <face @calamus ...trapped?\> In the ruins?> | <face @alula_oh Yeah!\|> | <face @alula_pout There was that weird stuff in the door!> | <face @alula_oh You know, the floating squares we see next to the ocean sometimes?> | <face @alula_oh The stuff you told me to stay away from?> | <face @calamus_shock What!?> | <face @calamus_shock It's... spread to the ruins now?> | <face @calamus_sad This isn't good...> | <face @alula_speak Don't worry! I didn't touch it!> | <face @alula I'm not hurt or anything...> | <face @calamus_sad Still...If it gets any worse, we might have to find somewhere else to live...> | <face @niko What is this...square... stuff, exactly?> | <face @calamus_sad Bad.> | <face @calamus Anything that touches them just...sorta...> | <face @calamus_sad ...Gets...messed up.> | <face @calamus_sad Whenever you hear people say the world is decaying, that's what they meant...> | <face @calamus_speak Obviously, you should avoid them too.> | <face @niko_speak I will!> | <face @calamus_speak Anyway, ah...> | <face @calamus I can't thank you enough for rescuing my sister, savior...> | <face @niko_speak Just call me Niko!> | <face @calamus_shame Oh gosh! Would it not be rude to call you by name?> | <face @niko Huh?\>\n\@niko_speak Why would it be?> | <face @niko I mean, I'm just a kid like you guys...> | <face @calamus_shame Ah...> | <face @calamus_smile Then...would you like to visit our house, Niko?> | <face @alula_speak Yaaaay!> | <face @alula Let's go!> | <face @niko_speak I'm sorry, but I think \p might want to go somewhere else right now!> | <face @calamus_smile That's fine.\.\. I'm sure you both have more important things to do right now.> | <face @calamus_smile But feel free to drop by if you change your mind.> | <face @alula_speak Yeah!\.\. We have something nice to give you, Niko!> | <face @alula We live in the ruins.\| So don't forget!>
    Page2: trigger=0  <face @calamus_speak Oh, by the way, what happened to the sun?> | <face @niko I lent it to someone in the ruins.\nShe said she wanted to feel the sun again, before.\..\..> | <face @calamus Oh, Maize.\nI've met her before, too.> | <face @calamus There used to be a lot more plant people around here...\nThat's what my father told me.> | <face @calamus I guess they've all...\. gone.> | <face @niko_eyeclosed I'm glad she got to see the sun again, at least.>
  Event 40: alula npc @ (66,44)
  Event 41: init @ (39,77)
  Event 42: turn off map event @ (60,45)
  Event 43: FAST TRAVEL @ (56,40)
  Event 44: north exit @ (40,21)
  Event 45: EV045 @ (67,30)
  Event 46: EV046 @ (66,30)
  Event 47: EV047 @ (70,32)
  Event 48: EV048 @ (75,32)
  Event 49: EV049 @ (71,32)
  Event 50: EV050 @ (69,32)
  Event 51: EV051 @ (74,32)
  Event 52: EV052 @ (76,30)
  Event 53: EV053 @ (85,39)
  Event 54: EV054 @ (79,75)
  Event 55: EV055 @ (80,76)
  Event 56: EV056 @ (69,78)
  Event 57: EV057 @ (65,72)
  Event 58: EV058 @ (62,68)
  Event 59: EV059 @ (60,69)
  Event 60: EV060 @ (58,69)
  Event 61: EV061 @ (57,69)
  Event 62: EV062 @ (55,69)
  Event 63: EV063 @ (51,68)
  Event 64: EV064 @ (49,68)
  Event 65: EV065 @ (48,68)
  Event 66: north exit @ (49,88)
  Event 67: EV067 @ (40,70)
  Event 68: EV068 @ (39,71)
  Event 69: EV069 @ (35,71)
  Event 70: EV070 @ (36,71)
  Event 71: EV071 @ (31,67)
  Event 72: EV072 @ (51,54)
  Event 73: EV073 @ (50,54)
  Event 74: EV074 @ (47,54)
  Event 75: EV075 @ (45,55)
  Event 76: EV076 @ (33,52)
  Event 77: EV077 @ (32,51)
  Event 78: EV078 @ (31,44)
