Map 44: Gate  (74x120, tileset=4)

  Event 1: west exit @ (12,99)
  Event 2: wall entrance left @ (35,94)
  Event 3: wall entrance right @ (36,94)
  Event 4: gatekeeper @ (33,96)
  Event 5: map events @ (33,92)
    Page0: trigger=3  <face @green_gatekeeper [Good luck.]> | <face @niko_eyeclosed \p, I'm too tired to go on right now...\>\nPlease let me nap for a bit somewhere.> | <face @niko_eyeclosed I remember seeing a room to the west...\>\nIt looked like it might be a good place to take a rest.> | <face @niko_speak I found a pen! \.\.\@niko Sort of.> | <face @green_gatekeeper [Good.\nPlease write your name here.]> | <face @green_gatekeeper [Good luck.]> | <face @green_gatekeeper [Indeed You Do.]\>\n[But Are You Not Forgetting Something?]> | <face @niko_eyeclosed .\..\..\.\>\n\@niko_speak Oh, the sun!> | <face @green_gatekeeper [Have You Found Something To Write With?]> | <face @green_gatekeeper [The Sun...\.\. You're The Messiah!]> | <face @green_gatekeeper [Are you on your way to the Tower?]> | <face @green_gatekeeper [I saw you carrying the sun earlier.\nYou're the messiah, then?\nOn your way to the Tower?]> | <face @niko Mhm.> | <face @green_gatekeeper [You can enter the Refuge through this wall.\nYou'll need to sign your name in this scroll first.]> | <face @niko Alright.\.\.\n.\..\..Do you have a pen?> | <face @green_gatekeeper [Umm.\..\..]> | <face @green_gatekeeper [...No.\.\. I've lost mine.]> | <face @green_gatekeeper [Perhaps you should look around the Glen for another.]>
  Event 6: init @ (9,104)
  Event 7: ruins entrance left @ (59,99)
  Event 8: ruins entrance right @ (60,99)
  Event 9: block @ (32,96)
  Event 10: block @ (34,96)
  Event 11: FAST TRAVEL @ (18,91)
  Event 12: EV012 @ (11,94)
  Event 13: EV013 @ (21,77)
  Event 14: EV014 @ (22,77)
  Event 15: EV015 @ (36,77)
  Event 16: EV016 @ (37,77)
  Event 17: EV017 @ (31,104)
  Event 18: EV018 @ (32,105)
  Event 19: EV019 @ (25,105)
  Event 20: EV020 @ (21,103)
  Event 21: EV021 @ (22,103)
  Event 22: EV022 @ (16,103)
  Event 23: EV023 @ (11,105)
  Event 24: EV024 @ (10,105)
  Event 25: EV025 @ (8,97)
  Event 26: EV026 @ (13,97)
  Event 27: EV027 @ (47,105)
  Event 28: EV028 @ (48,105)
  Event 29: EV029 @ (43,106)
  Event 30: EV030 @ (40,105)
  Event 31: EV031 @ (53,104)
  Event 32: EV032 @ (60,104)
  Event 33: EV033 @ (63,101)
  Event 34: EV034 @ (62,101)
  Event 35: EV035 @ (59,106)
  Event 36: EV036 @ (73,102)
  Event 37: EV037 @ (72,102)
  Event 38: EV038 @ (71,103)
  Event 39: EV039 @ (68,103)
  Event 40: EV040 @ (47,107)
  Event 41: EV041 @ (34,105)
  Event 42: EV042 @ (28,103)
  Event 43: EV043 @ (19,106)
  Event 44: EV044 @ (36,104)
  Event 45: EV045 @ (52,107)
  Event 46: EV046 @ (53,107)
  Event 47: EV047 @ (55,107)
  Event 48: EV048 @ (49,107)
  Event 49: EV049 @ (50,107)
  Event 50: EV050 @ (56,104)
  Event 51: EV051 @ (57,104)
  Event 52: EV052 @ (64,102)
  Event 53: EV053 @ (19,102)
  Event 54: EV054 @ (20,102)
  Event 55: EV055 @ (21,105)
  Event 56: EV056 @ (19,104)
  Event 57: EV057 @ (18,104)
  Event 58: EV058 @ (9,105)
  Event 59: EV059 @ (8,105)
  Event 60: EV060 @ (29,104)
  Event 61: EV061 @ (35,105)
  Event 62: EV062 @ (37,104)
  Event 63: EV063 @ (38,105)
  Event 64: EV064 @ (41,105)
  Event 65: EV065 @ (49,104)
  Event 66: EV066 @ (51,107)
  Event 67: EV067 @ (58,106)
  Event 68: EV068 @ (61,103)
  Event 69: EV069 @ (59,104)
  Event 70: EV070 @ (67,103)
  Event 71: EV071 @ (70,103)
  Event 72: EV072 @ (24,104)
  Event 73: EV073 @ (23,104)
  Event 74: EV074 @ (27,103)
  Event 75: EV075 @ (28,105)
  Event 76: EV076 @ (27,105)
  Event 77: EV077 @ (24,106)
  Event 78: EV078 @ (23,106)
  Event 79: EV079 @ (22,107)
  Event 80: EV080 @ (20,105)
  Event 81: EV081 @ (18,102)
  Event 82: EV082 @ (17,104)
  Event 83: EV083 @ (15,104)
  Event 84: EV084 @ (7,105)
  Event 85: EV085 @ (11,98)
  Event 86: EV086 @ (10,98)
  Event 87: EV087 @ (33,105)
  Event 88: EV088 @ (30,104)
  Event 89: EV089 @ (50,105)
  Event 90: EV090 @ (51,105)
  Event 91: EV091 @ (55,104)
  Event 92: EV092 @ (54,104)
  Event 93: EV093 @ (58,104)
  Event 94: EV094 @ (57,106)
  Event 95: EV095 @ (60,106)
  Event 96: EV096 @ (46,105)
  Event 97: EV097 @ (45,105)
  Event 98: EV098 @ (48,107)
  Event 99: EV099 @ (54,107)
  Event 100: EV100 @ (66,103)
  Event 101: EV101 @ (65,103)
  Event 102: EV102 @ (69,103)
  Event 103: EV103 @ (44,106)
  Event 104: EV104 @ (45,107)
  Event 105: EV105 @ (46,107)
  Event 106: EV106 @ (52,105)
  Event 107: EV107 @ (42,106)
  Event 108: EV108 @ (39,106)
  Event 109: EV109 @ (26,105)
  Event 110: EV110 @ (9,98)
  Event 111: EV111 @ (15,98)
  Event 112: EV112 @ (9,87)
  Event 113: EV113 @ (7,91)
  Event 114: EV114 @ (37,106)
  Event 115: EV115 @ (54,108)
  Event 116: EV116 @ (63,102)
  Event 117: EV117 @ (17,106)
  Event 118: EV118 @ (10,93)
  Event 119: EV119 @ (5,102)
  Event 120: EV120 @ (70,108)
  Event 121: EV121 @ (29,108)
  Event 122: EV122 @ (36,114)
  Event 123: EV123 @ (62,109)
  Event 124: EV124 @ (13,107)
  Event 125: EV125 @ (66,104)
  Event 126: EV126 @ (31,105)
  Event 127: EV127 @ (20,108)
  Event 128: EV128 @ (49,105)
  Event 129: EV129 @ (73,103)
  Event 130: EV130 @ (45,109)
  Event 131: EV131 @ (14,102)
  Event 132: EV132 @ (18,110)
  Event 133: EV133 @ (26,107)
  Event 134: EV134 @ (6,97)
  Event 135: ruins entrance top left @ (18,89)
  Event 136: ruins entrance top left @ (18,90)
    Page0: trigger=0  <face @niko_eyeclosed The doorway is full of vines, \p...>
  Event 137: EV137 @ (12,97)
  Event 138: EV138 @ (38,108)
  Event 139: EV139 @ (16,107)
  Event 140: EV140 @ (51,109)
  Event 141: EV141 @ (34,109)
  Event 142: EV142 @ (21,109)
  Event 143: EV143 @ (49,110)
  Event 144: EV144 @ (60,108)
  Event 145: EV145 @ (9,101)
  Event 146: EV146 @ (41,108)
  Event 147: EV147 @ (43,110)
  Event 148: EV148 @ (34,107)
  Event 149: EV149 @ (25,109)
  Event 150: EV150 @ (47,108)
  Event 151: EV151 @ (55,111)
  Event 152: EV152 @ (63,104)
  Event 153: EV153 @ (6,95)
  Event 154: EV154 @ (10,108)
  Event 155: EV155 @ (5,97)
  Event 156: EV156 @ (30,101)
  Event 157: EV157 @ (38,99)
  Event 158: EV158 @ (45,103)
  Event 159: EV159 @ (40,102)
  Event 160: EV160 @ (19,100)
  Event 161: EV161 @ (31,101)
  Event 162: EV162 @ (39,102)
  Event 163: EV163 @ (47,101)
  Event 164: EV164 @ (14,98)
  Event 165: block @ (34,95)
