Map 46: Inside 3  (70x60, tileset=5)

  Event 1: exit left @ (20,47)
  Event 2: exit right @ (21,47)
  Event 3: glitch2 trigger @ (28,44)
  Event 4: glitch2 trigger @ (28,45)
  Event 5: glitch2 @ (25,45)
  Event 6: glitch2 @ (24,45)
  Event 7: nopass @ (25,44)
  Event 8: glitch2 trigger @ (39,44)
  Event 9: glitch2 trigger @ (39,45)
  Event 10: nopass @ (38,44)
  Event 11: glitch3 @ (38,45)
  Event 12: glitch3 @ (37,43)
  Event 13: glitch3 @ (39,47)
  Event 14: glitch3 @ (37,46)
  Event 15: Map Events @ (30,18)
  Event 16: exit left @ (35,22)
  Event 17: exit right @ (36,22)
  Event 18: indoors @ (26,47)
  Event 19: EV019 @ (18,39)
