Map 70: Old factory  (100x140, tileset=2)

  Event 1: west exit @ (11,41)
  Event 2: vent @ (52,106)
  Event 3: vent @ (58,104)
  Event 4: factory entrance @ (53,83)
  Event 5: vent @ (34,132)
  Event 6: vent @ (38,135)
  Event 7: vent @ (49,129)
  Event 8: vent @ (34,113)
  Event 9: vent @ (32,94)
  Event 10: vent @ (64,92)
  Event 11: vent @ (57,89)
  Event 12: vent @ (52,96)
  Event 13: vent @ (42,95)
  Event 14: vent @ (57,111)
  Event 15: vent @ (41,102)
  Event 16: vent @ (35,87)
  Event 17: vent @ (59,58)
  Event 18: vent @ (50,59)
  Event 19: vent @ (47,55)
  Event 20: vent @ (41,115)
  Event 21: vent @ (53,122)
  Event 22: FAST TRAVEL @ (53,84)
  Event 23: init @ (29,124)
  Event 24: cannot breathe @ (73,135)
  Event 25: gasmask on @ (72,135)
  Event 26: !smallpool @ (22,64)
  Event 27: !smallpool @ (40,61)
  Event 28: EV028 @ (21,126)
  Event 29: south exit @ (38,125)
  Event 30: vent @ (38,121)
  Event 31: vent @ (47,119)
  Event 32: EV032 @ (27,130)
  Event 33: EV033 @ (28,130)
  Event 34: EV034 @ (22,135)
  Event 35: EV035 @ (27,123)
  Event 37: EV037 @ (27,119)
  Event 38: EV038 @ (23,110)
  Event 41: EV041 @ (8,65)
  Event 42: EV042 @ (28,113)
  Event 43: EV043 @ (30,122)
  Event 44: EV044 @ (30,105)
  Event 45: EV045 @ (31,107)
  Event 46: EV046 @ (32,109)
  Event 47: EV047 @ (33,111)
  Event 49: EV049 @ (25,104)
  Event 50: EV050 @ (24,103)
  Event 51: EV051 @ (19,102)
  Event 53: EV053 @ (17,101)
  Event 54: EV054 @ (29,135)
  Event 55: EV055 @ (30,134)
  Event 56: EV056 @ (27,98)
  Event 57: EV057 @ (30,89)
  Event 58: EV058 @ (30,85)
  Event 59: EV059 @ (33,85)
  Event 60: EV060 @ (30,94)
  Event 61: EV061 @ (27,88)
  Event 62: EV062 @ (26,88)
  Event 63: EV063 @ (31,84)
  Event 64: EV064 @ (32,86)
  Event 65: EV065 @ (31,96)
  Event 66: EV066 @ (30,98)
  Event 67: EV067 @ (25,122)
  Event 68: EV068 @ (22,125)
  Event 69: EV069 @ (10,65)
  Event 70: EV070 @ (15,67)
  Event 71: EV071 @ (22,72)
  Event 72: EV072 @ (30,82)
  Event 73: EV073 @ (27,75)
  Event 74: EV074 @ (25,73)
  Event 79: EV079 @ (29,80)
  Event 80: EV080 @ (28,78)
  Event 84: EV084 @ (17,68)
  Event 85: EV085 @ (18,69)
  Event 86: EV086 @ (19,70)
  Event 87: EV087 @ (20,71)
  Event 88: EV088 @ (21,72)
  Event 89: EV089 @ (13,67)
  Event 90: EV090 @ (12,66)
  Event 98: EV098 @ (0,63)
  Event 99: EV099 @ (3,64)
  Event 101: EV101 @ (5,64)
  Event 105: EV105 @ (25,88)
  Event 106: EV106 @ (33,124)
  Event 107: EV107 @ (32,133)
  Event 108: EV108 @ (33,135)
  Event 109: EV109 @ (28,101)
  Event 110: EV110 @ (29,106)
  Event 111: EV111 @ (30,109)
  Event 112: EV112 @ (26,109)
  Event 113: EV113 @ (32,115)
  Event 114: EV114 @ (31,112)
  Event 115: EV115 @ (31,124)
  Event 116: EV116 @ (32,136)
  Event 117: EV117 @ (26,133)
  Event 118: EV118 @ (25,127)
  Event 119: EV119 @ (27,124)
  Event 122: EV122 @ (26,138)
  Event 123: EV123 @ (23,96)
  Event 124: EV124 @ (22,88)
  Event 125: EV125 @ (33,89)
  Event 126: EV126 @ (23,77)
  Event 127: EV127 @ (15,71)
  Event 128: EV128 @ (13,71)
  Event 129: EV129 @ (24,82)
  Event 130: EV130 @ (28,82)
  Event 131: EV131 @ (25,75)
  Event 132: EV132 @ (26,85)
  Event 133: EV133 @ (26,93)
  Event 134: EV134 @ (31,117)
  Event 135: EV135 @ (24,96)
  Event 136: EV136 @ (20,74)
  Event 137: EV137 @ (6,67)
  Event 139: EV139 @ (27,138)
  Event 141: EV141 @ (8,69)
  Event 142: EV142 @ (18,71)
  Event 143: EV143 @ (28,84)
  Event 144: EV144 @ (29,91)
  Event 145: EV145 @ (29,103)
  Event 146: EV146 @ (23,99)
  Event 147: EV147 @ (28,110)
  Event 148: EV148 @ (32,120)
  Event 149: EV149 @ (31,128)
  Event 150: EV150 @ (26,134)
  Event 152: EV152 @ (31,111)
  Event 153: EV153 @ (28,108)
  Event 154: EV154 @ (30,130)
  Event 157: EV157 @ (17,104)
  Event 158: EV158 @ (25,77)
  Event 159: EV159 @ (20,88)
  Event 160: EV160 @ (23,92)
  Event 161: EV161 @ (27,90)
  Event 162: EV162 @ (10,67)
  Event 163: EV163 @ (3,68)
  Event 164: EV164 @ (4,66)
  Event 165: EV165 @ (10,69)
  Event 166: EV166 @ (15,69)
  Event 167: EV167 @ (23,79)
  Event 168: EV168 @ (31,87)
  Event 169: EV169 @ (32,91)
  Event 170: EV170 @ (25,91)
  Event 171: EV171 @ (28,99)
  Event 172: EV172 @ (33,112)
  Event 173: EV173 @ (22,113)
  Event 174: EV174 @ (25,125)
  Event 175: EV175 @ (30,138)
  Event 176: EV176 @ (31,131)
  Event 177: EV177 @ (30,115)
  Event 178: EV178 @ (23,104)
  Event 179: EV179 @ (26,78)
  Event 180: EV180 @ (5,67)
  Event 181: EV181 @ (24,75)
  Event 182: EV182 @ (33,87)
  Event 183: EV183 @ (27,95)
  Event 184: EV184 @ (28,117)
  Event 185: EV185 @ (32,126)
  Event 186: EV186 @ (25,138)
  Event 188: EV188 @ (33,138)
  Event 189: EV189 @ (28,132)
  Event 190: EV190 @ (28,118)
  Event 191: EV191 @ (25,105)
  Event 192: EV192 @ (32,88)
  Event 193: EV193 @ (33,86)
  Event 194: EV194 @ (27,79)
  Event 195: EV195 @ (18,72)
  Event 196: EV196 @ (8,67)
  Event 197: EV197 @ (7,68)
  Event 198: EV198 @ (24,77)
  Event 199: EV199 @ (27,101)
  Event 200: EV200 @ (26,113)
  Event 201: EV201 @ (29,127)
  Event 203: EV203 @ (7,70)
  Event 204: EV204 @ (13,68)
  Event 205: EV205 @ (21,74)
  Event 206: EV206 @ (28,81)
  Event 207: EV207 @ (31,92)
  Event 208: EV208 @ (25,99)
  Event 209: EV209 @ (32,118)
  Event 210: EV210 @ (29,132)
  Event 211: EV211 @ (31,108)
  Event 212: EV212 @ (26,107)
  Event 213: EV213 @ (33,126)
  Event 214: EV214 @ (26,128)
  Event 215: EV215 @ (32,139)
  Event 217: EV217 @ (32,89)
  Event 218: EV218 @ (26,76)
  Event 219: EV219 @ (17,70)
  Event 220: EV220 @ (13,75)
  Event 221: EV221 @ (18,83)
  Event 222: EV222 @ (33,137)
  Event 223: EV223 @ (30,131)
  Event 224: EV224 @ (28,134)
  Event 226: EV226 @ (25,131)
  Event 227: EV227 @ (31,122)
  Event 228: EV228 @ (29,117)
  Event 229: EV229 @ (32,112)
  Event 230: EV230 @ (30,107)
  Event 231: EV231 @ (24,112)
  Event 234: EV234 @ (18,105)
  Event 235: EV235 @ (28,104)
  Event 236: EV236 @ (31,91)
  Event 237: EV237 @ (29,86)
  Event 238: EV238 @ (29,83)
  Event 239: EV239 @ (23,90)
  Event 240: EV240 @ (27,94)
  Event 241: EV241 @ (21,93)
  Event 242: EV242 @ (33,91)
  Event 243: EV243 @ (27,81)
  Event 244: EV244 @ (21,79)
  Event 245: EV245 @ (22,74)
  Event 246: EV246 @ (17,73)
  Event 247: EV247 @ (14,68)
  Event 248: EV248 @ (11,66)
  Event 249: EV249 @ (5,65)
  Event 250: EV250 @ (2,65)
  Event 251: EV251 @ (19,77)
  Event 252: EV252 @ (27,76)
  Event 253: EV253 @ (3,66)
  Event 254: EV254 @ (10,66)
  Event 255: EV255 @ (12,69)
  Event 256: EV256 @ (16,69)
  Event 257: EV257 @ (19,72)
  Event 258: EV258 @ (23,74)
  Event 259: EV259 @ (21,77)
  Event 260: EV260 @ (25,79)
  Event 261: EV261 @ (27,83)
  Event 262: EV262 @ (30,87)
  Event 263: EV263 @ (22,75)
  Event 264: EV264 @ (25,97)
  Event 265: EV265 @ (28,106)
  Event 266: EV266 @ (31,114)
  Event 267: EV267 @ (24,118)
  Event 268: EV268 @ (31,127)
  Event 269: EV269 @ (24,134)
  Event 270: EV270 @ (29,136)
  Event 271: EV271 @ (32,110)
  Event 272: EV272 @ (27,104)
  Event 273: EV273 @ (32,135)
  Event 274: EV274 @ (27,136)
  Event 275: EV275 @ (26,123)
  Event 276: EV276 @ (24,114)
  Event 277: EV277 @ (27,105)
  Event 278: EV278 @ (32,87)
  Event 279: EV279 @ (29,82)
  Event 280: EV280 @ (27,77)
  Event 281: EV281 @ (24,78)
  Event 282: EV282 @ (20,73)
  Event 283: EV283 @ (15,68)
  Event 284: EV284 @ (9,66)
  Event 285: EV285 @ (4,65)
  Event 286: EV286 @ (10,68)
  Event 287: EV287 @ (2,66)
  Event 288: EV288 @ (23,73)
  Event 289: EV289 @ (26,74)
  Event 290: EV290 @ (29,81)
  Event 291: EV291 @ (29,88)
  Event 292: EV292 @ (24,94)
  Event 293: EV293 @ (21,106)
  Event 294: EV294 @ (27,114)
  Event 295: EV295 @ (24,129)
  Event 297: EV297 @ (32,122)
  Event 298: EV298 @ (27,59)
    Page0: trigger=0  <face $There's something weird about the robots who get sent to work near the gas fields.> | <face $They appear to accumulate rust at a much slower rate than the others.> | <face > | <face $The few who work directly with gas harvesting look practically new!> | <face $Is that a result of the atmosphere? Or am I just seeing things?> | <face >
