Map 71: Dormitories  (170x70, tileset=2)

  Event 1: west exit @ (11,27)
  Event 2: east exit @ (158,27)
  Event 3: !smallpool @ (129,28)
  Event 4: 110 @ (34,29)
  Event 5: 119 @ (51,46)
  Event 6: 117 @ (65,29)
  Event 7: 112 @ (83,43)
  Event 8: 113 @ (103,29)
  Event 9: 118 @ (124,46)
  Event 10: FAST TRAVEL @ (77,46)
  Event 11: gasmask off @ (158,23)
  Event 12: EV012 @ (59,31)
    Page0: trigger=0  <face [HELLO, ORGANIC PERSON WHO IS ALIVE.]> | <face [THE INFIRMARY IS UP AHEAD.]>
  Event 13: !bigpool @ (119,29)
  Event 14: !smallpool @ (98,38)
  Event 15: !bigpool @ (67,41)
  Event 16: !bigpool @ (84,30)
  Event 17: !bigpool @ (33,45)
  Event 18: !bigpool @ (49,31)
  Event 19: !smallpool @ (17,29)
  Event 20: !smallpool @ (94,42)
  Event 21: !smallpool @ (106,38)
  Event 22: !smallpool @ (110,42)
  Event 23: !smallpool @ (106,47)
  Event 24: !smallpool @ (98,47)
  Event 25: entrance @ (103,43)
  Event 26: EV026 @ (20,39)
  Event 27: EV027 @ (135,45)
    Page0: trigger=0  <face > | <face @blue_gatekeeper [Oh, Hello.]> | <face @blue_gatekeeper [What Are You Doing Here?]> | <face @niko Hm?> | <face @blue_gatekeeper [A Living Person Such As Yourself Should Have Evacuated This Place Long Ago.]> | <face @niko_speak Oh, but I just got here! \>\n\@niko To this world, I mean!> | <face @niko_speak See? \.\. I have the sun!> | <face @blue_gatekeeper [Oh, The Messiah.]> | <face @blue_gatekeeper [I...\. Do Not Know What To Say.]> | <face @blue_gatekeeper [Greeting You Was Not Part Of My Programming.]> | <face @blue_gatekeeper [Have You\.\. Spoken To Prophetbot?]> | <face @niko_speak I think so, yeah!> | <face @blue_gatekeeper [Prophetbot Was Built With The Sole Purpose Of Greeting You.]> | <face @niko Really?> | <face @blue_gatekeeper [Yes. He Cannot Speak With Anyone Else.] \>\n[At Least, Not With Ease.]> | <face @niko Oh...\n\>\@niko_eyeclosed that's...\.\.kind of sad...> | <face @niko_speak What are you built for, then?> | <face @blue_gatekeeper [My Purpose Is To Guard This Settlement.]> | <face @blue_gatekeeper [Even Though The Residents Have Long Gone, I Must Remain.]> | <face @niko Ah...> | <face @niko_speak Why, though?> | <face @blue_gatekeeper [I Have Not Been Tamed.]> | <face @niko_speak Tamed?> | <face @blue_gatekeeper [It Was Not Worth The Effort.]> | <face @niko ...>
    Page1: trigger=0  <face @blue_gatekeeper [Stay Safe.]> | <face @blue_gatekeeper [By The Way, Some Robots May Start Following You Around This Settlement As Well.]> | <face @blue_gatekeeper [Do Not Be Alarmed.]\n\>[It Is Their Job To Keep People Safe.]>
  Event 28: EV028 @ (142,59)
  Event 29: EV029 @ (21,42)
  Event 30: EV030 @ (20,43)
  Event 31: EV031 @ (29,52)
  Event 32: EV032 @ (31,55)
  Event 33: EV033 @ (0,47)
  Event 34: EV034 @ (5,45)
  Event 35: EV035 @ (2,46)
  Event 36: EV036 @ (10,41)
  Event 37: EV037 @ (16,40)
  Event 38: EV038 @ (18,40)
  Event 39: EV039 @ (22,55)
  Event 40: EV040 @ (7,44)
  Event 41: EV041 @ (8,42)
  Event 42: EV042 @ (26,54)
  Event 43: EV043 @ (35,51)
  Event 44: EV044 @ (38,52)
  Event 45: EV045 @ (41,53)
  Event 46: EV046 @ (20,51)
  Event 47: EV047 @ (44,53)
  Event 48: EV048 @ (46,53)
  Event 49: EV049 @ (48,52)
  Event 50: EV050 @ (42,59)
  Event 51: EV051 @ (51,53)
  Event 52: EV052 @ (54,53)
  Event 53: EV053 @ (57,53)
  Event 54: EV054 @ (60,53)
  Event 55: EV055 @ (62,53)
  Event 56: EV056 @ (64,52)
  Event 57: EV057 @ (66,51)
  Event 58: EV058 @ (71,54)
  Event 59: EV059 @ (68,52)
  Event 60: EV060 @ (73,53)
  Event 61: EV061 @ (75,53)
  Event 62: EV062 @ (78,51)
  Event 63: EV063 @ (80,51)
  Event 64: EV064 @ (82,49)
  Event 65: EV065 @ (84,49)
  Event 66: EV066 @ (87,48)
  Event 67: EV067 @ (82,56)
  Event 68: EV068 @ (83,57)
  Event 69: EV069 @ (87,57)
  Event 70: EV070 @ (79,58)
  Event 71: EV071 @ (62,59)
  Event 72: EV072 @ (102,51)
  Event 73: EV073 @ (110,51)
  Event 74: EV074 @ (105,51)
  Event 75: EV075 @ (96,49)
  Event 76: EV076 @ (99,50)
  Event 77: EV077 @ (93,48)
  Event 78: EV078 @ (90,47)
  Event 79: EV079 @ (102,57)
  Event 80: EV080 @ (104,57)
  Event 81: EV081 @ (169,53)
  Event 82: EV082 @ (167,53)
  Event 83: EV083 @ (161,52)
  Event 84: EV084 @ (85,58)
  Event 85: EV085 @ (164,53)
  Event 90: EV090 @ (153,53)
  Event 91: EV091 @ (150,53)
  Event 92: EV092 @ (145,51)
  Event 93: EV093 @ (140,52)
  Event 94: EV094 @ (135,53)
  Event 95: EV095 @ (137,53)
  Event 96: EV096 @ (129,54)
  Event 97: EV097 @ (120,54)
  Event 98: EV098 @ (117,54)
  Event 99: EV099 @ (123,54)
  Event 100: EV100 @ (116,57)
  Event 101: EV101 @ (124,60)
  Event 102: EV102 @ (134,57)
  Event 103: EV103 @ (15,39)
  Event 104: EV104 @ (108,51)
  Event 105: EV105 @ (28,53)
  Event 106: EV106 @ (126,54)
  Event 107: EV107 @ (24,54)
  Event 108: EV108 @ (131,54)
  Event 109: EV109 @ (159,51)
  Event 115: EV115 @ (61,59)
  Event 116: EV116 @ (70,52)
  Event 121: EV121 @ (115,57)
  Event 122: EV122 @ (105,57)
  Event 127: EV127 @ (142,53)
  Event 136: EV136 @ (123,59)
  Event 137: EV137 @ (140,58)
  Event 139: EV139 @ (144,58)
  Event 143: EV143 @ (14,40)
  Event 144: EV144 @ (12,41)
  Event 146: EV146 @ (25,52)
  Event 147: EV147 @ (21,53)
  Event 163: EV163 @ (69,51)
  Event 165: EV165 @ (57,57)
  Event 181: EV181 @ (156,52)
  Event 210: EV210 @ (33,53)
  Event 211: EV211 @ (27,50)
  Event 212: EV212 @ (26,48)
  Event 213: EV213 @ (53,50)
  Event 214: EV214 @ (52,50)
  Event 217: EV217 @ (91,52)
  Event 219: EV219 @ (25,45)
  Event 220: EV220 @ (24,44)
  Event 221: EV221 @ (141,53)
  Event 222: EV222 @ (148,53)
  Event 223: EV223 @ (147,52)
  Event 224: EV224 @ (115,54)
  Event 225: EV225 @ (113,53)
  Event 226: EV226 @ (112,52)
  Event 227: EV227 @ (144,52)
  Event 228: EV228 @ (143,53)
  Event 229: EV229 @ (139,53)
  Event 230: EV230 @ (133,54)
  Event 231: EV231 @ (39,56)
  Event 234: EV234 @ (17,47)
  Event 235: EV235 @ (26,58)
  Event 236: EV236 @ (29,53)
  Event 237: EV237 @ (25,48)
  Event 238: EV238 @ (59,54)
  Event 239: EV239 @ (48,57)
  Event 240: EV240 @ (71,55)
  Event 245: EV245 @ (93,51)
  Event 246: EV246 @ (131,58)
  Event 247: EV247 @ (146,55)
  Event 248: EV248 @ (156,57)
  Event 249: EV249 @ (160,53)
  Event 250: EV250 @ (166,58)
  Event 251: EV251 @ (4,51)
  Event 252: EV252 @ (11,46)
  Event 253: EV253 @ (22,58)
  Event 254: EV254 @ (37,54)
  Event 258: EV258 @ (66,56)
  Event 260: EV260 @ (90,55)
  Event 262: EV262 @ (110,56)
  Event 263: EV263 @ (128,57)
  Event 265: EV265 @ (149,58)
  Event 266: EV266 @ (159,55)
  Event 268: EV268 @ (167,54)
  Event 270: EV270 @ (150,56)
  Event 271: EV271 @ (137,56)
  Event 272: EV272 @ (119,59)
  Event 273: EV273 @ (107,53)
  Event 274: EV274 @ (96,54)
  Event 275: EV275 @ (87,50)
  Event 279: EV279 @ (27,56)
  Event 281: EV281 @ (8,45)
  Event 282: EV282 @ (1,52)
  Event 284: EV284 @ (21,44)
  Event 286: EV286 @ (29,55)
  Event 287: EV287 @ (35,56)
  Event 288: EV288 @ (45,54)
  Event 289: EV289 @ (52,55)
  Event 293: EV293 @ (81,52)
  Event 295: EV295 @ (101,54)
  Event 296: EV296 @ (114,55)
  Event 297: EV297 @ (132,55)
  Event 300: EV300 @ (169,56)
  Event 301: EV301 @ (159,58)
  Event 302: EV302 @ (152,54)
  Event 303: EV303 @ (147,56)
  Event 304: EV304 @ (137,58)
  Event 307: EV307 @ (111,54)
  Event 310: EV310 @ (90,51)
  Event 311: EV311 @ (78,55)
  Event 312: EV312 @ (71,57)
  Event 313: EV313 @ (65,58)
  Event 314: EV314 @ (55,59)
  Event 315: EV315 @ (45,57)
  Event 317: EV317 @ (17,42)
  Event 318: EV318 @ (24,57)
  Event 319: EV319 @ (11,42)
  Event 320: EV320 @ (5,47)
  Event 321: EV321 @ (18,41)
  Event 322: EV322 @ (27,52)
  Event 323: EV323 @ (39,53)
  Event 324: EV324 @ (55,54)
  Event 325: EV325 @ (52,51)
  Event 328: EV328 @ (124,57)
  Event 329: EV329 @ (155,55)
  Event 330: EV330 @ (164,54)
  Event 331: EV331 @ (136,54)
  Event 335: EV335 @ (103,52)
  Event 337: EV337 @ (48,55)
  Event 338: EV338 @ (29,57)
  Event 342: EV342 @ (25,56)
  Event 345: EV345 @ (77,57)
  Event 346: EV346 @ (95,52)
  Event 347: EV347 @ (113,57)
  Event 349: EV349 @ (162,55)
  Event 351: EV351 @ (139,55)
  Event 353: EV353 @ (99,55)
  Event 354: EV354 @ (68,55)
  Event 355: EV355 @ (51,57)
  Event 357: EV357 @ (13,42)
  Event 359: EV359 @ (10,44)
  Event 361: EV361 @ (26,60)
  Event 362: EV362 @ (43,54)
  Event 363: EV363 @ (62,54)
  Event 364: EV364 @ (90,49)
  Event 367: EV367 @ (157,54)
  Event 371: EV371 @ (116,55)
  Event 372: EV372 @ (96,50)
  Event 373: EV373 @ (84,50)
  Event 374: EV374 @ (67,53)
  Event 375: EV375 @ (53,54)
  Event 377: EV377 @ (18,43)
  Event 378: EV378 @ (6,46)
  Event 379: EV379 @ (3,47)
  Event 380: EV380 @ (14,41)
  Event 381: EV381 @ (25,50)
  Event 382: EV382 @ (36,52)
  Event 385: EV385 @ (60,55)
  Event 386: EV386 @ (78,52)
  Event 387: EV387 @ (86,49)
  Event 389: EV389 @ (108,52)
  Event 390: EV390 @ (123,55)
  Event 391: EV391 @ (145,53)
  Event 392: EV392 @ (163,57)
  Event 398: EV398 @ (144,54)
  Event 399: EV399 @ (135,55)
  Event 400: EV400 @ (129,55)
  Event 401: EV401 @ (125,56)
  Event 402: EV402 @ (119,55)
  Event 403: EV403 @ (116,59)
  Event 404: EV404 @ (109,55)
  Event 405: EV405 @ (106,52)
  Event 409: EV409 @ (91,48)
  Event 410: EV410 @ (86,51)
  Event 412: EV412 @ (73,54)
  Event 413: EV413 @ (66,52)
  Event 415: EV415 @ (57,54)
  Event 416: EV416 @ (50,55)
  Event 417: EV417 @ (40,55)
  Event 418: EV418 @ (37,58)
  Event 419: EV419 @ (31,56)
  Event 420: EV420 @ (28,55)
  Event 421: EV421 @ (25,46)
  Event 422: EV422 @ (20,46)
  Event 423: EV423 @ (13,44)
  Event 426: EV426 @ (2,50)
  Event 427: EV427 @ (4,48)
  Event 429: EV429 @ (12,43)
  Event 430: EV430 @ (16,44)
  Event 431: EV431 @ (19,44)
  Event 432: EV432 @ (26,49)
  Event 434: EV434 @ (35,53)
  Event 435: EV435 @ (44,55)
  Event 437: EV437 @ (62,56)
  Event 438: EV438 @ (69,53)
  Event 439: EV439 @ (75,55)
  Event 442: EV442 @ (94,53)
  Event 444: EV444 @ (118,58)
  Event 445: EV445 @ (108,58)
  Event 447: EV447 @ (121,56)
  Event 448: EV448 @ (131,56)
  Event 450: EV450 @ (151,58)
  Event 452: EV452 @ (146,58)
  Event 453: EV453 @ (166,55)
  Event 454: EV454 @ (168,58)
  Event 457: EV457 @ (161,56)
  Event 458: EV458 @ (150,54)
  Event 460: EV460 @ (138,55)
  Event 461: EV461 @ (134,54)
  Event 462: EV462 @ (127,55)
  Event 464: EV464 @ (118,56)
  Event 465: EV465 @ (117,60)
  Event 468: EV468 @ (99,53)
  Event 469: EV469 @ (93,49)
  Event 470: EV470 @ (88,53)
  Event 471: EV471 @ (80,54)
  Event 472: EV472 @ (65,55)
  Event 475: EV475 @ (34,54)
  Event 476: EV476 @ (26,55)
  Event 477: EV477 @ (16,41)
  Event 478: EV478 @ (7,48)
  Event 479: EV479 @ (0,50)
  Event 480: EV480 @ (15,40)
  Event 481: EV481 @ (155,53)
  Event 482: EV482 @ (82,50)
  Event 483: EV483 @ (1,48)
  Event 484: EV484 @ (9,42)
  Event 485: EV485 @ (15,42)
  Event 486: EV486 @ (21,40)
  Event 487: EV487 @ (157,52)
  Event 488: EV488 @ (34,52)
  Event 490: EV490 @ (49,53)
  Event 492: EV492 @ (73,59)
  Event 493: EV493 @ (55,56)
  Event 494: EV494 @ (93,55)
  Event 495: EV495 @ (104,54)
  Event 496: EV496 @ (112,56)
  Event 497: EV497 @ (113,55)
  Event 500: EV500 @ (146,52)
  Event 502: EV502 @ (153,56)
  Event 504: EV504 @ (169,54)
  Event 507: EV507 @ (139,57)
  Event 508: EV508 @ (111,52)
  Event 509: EV509 @ (140,54)
  Event 510: EV510 @ (156,53)
  Event 511: EV511 @ (129,59)
  Event 517: EV517 @ (9,47)
  Event 520: EV520 @ (57,28)
    Page0: trigger=0  <face INFIRMARY>
  Event 521: EV521 @ (73,28)
    Page0: trigger=0  <face INFIRMARY>
  Event 523: EV523 @ (114,39)
    Page0: trigger=0  <face [HELLO. DO YOU NEED ANY HELP?]> | <face @niko_speak I'm good, thanks!>
    Page1: trigger=2  <face [UNIT RM-2883417 REPORTING FOR DUTY!]> | <face [I SAW THAT YOU SPOKE WITH THE GUARDIAN OF THE SETTLEMENT.]> | <face [I WILL NOW ESCORT YOU UNTIL YOU REACH YOUR DORMITORY.]> | <face @niko um....what?>
    Page2: trigger=0  <face @niko_speak So you're just gonna...follow me?> | <face [YES.]> | <face [UNTIL YOU SAFELY REACH A BUILDING OF YOUR DESTINATION.]> | <face @niko Alright.>
    Page3: trigger=0  <face @niko Hello> | <face [BOOP]>
  Event 524: EV524 @ (41,33)
    Page0: trigger=0  <face [HELLO. DO YOU NEED ANY HELP?]> | <face @niko_speak I'm good, thanks!>
    Page1: trigger=2  <face [UNIT RT-3847201 REPORTING FOR DUTY!]> | <face [IT SEEMS THAT YOU ALREADY HAVE AN ASSIGNED ESCORT, UNIT  RM-2883417]> | <face [WOULD YOU LIKE ME TO LEAVE?]> | <face @niko You can follow me if you want...> | <face [UNDERSTOOD.]> | <face [I WILL NOW ESCORT YOU UNTIL YOU REACH YOUR DORMITORY.]>
    Page2: trigger=0  <face @niko_speak Are you guys not supposed to go in buildings?> | <face [CORRECT.]> | <face [WE ARE BUILT FOR OUTDOOR USE ONLY.]> | <face [ENTERING BUILDINGS IS NOT PART OF OUR PROGRAMMING.]> | <face @niko That's... strange.>
    Page3: trigger=0  <face @niko Hello> | <face [BEEP]>
  Event 525: !smallpool @ (132,23)
  Event 526: !smallpool @ (139,27)
  Event 527: EV527 @ (114,53)
