Map 73: Swamp  (122x88, tileset=2)

  Event 1: init @ (50,76)
  Event 2: south exit @ (61,77)
  Event 3: east exit @ (108,11)
  Event 4: !smallpool @ (67,47)
  Event 5: !smallpool @ (78,48)
  Event 6: !bigpool @ (39,33)
  Event 7: !smallpool @ (72,58)
  Event 8: !smallpool @ (74,62)
  Event 9: !smallpool @ (70,61)
  Event 10: !smallpool @ (65,63)
  Event 11: !smallpool @ (71,67)
  Event 12: !smallpool @ (74,69)
  Event 13: !smallpool @ (66,69)
  Event 14: !smallpool @ (68,64)
  Event 15: !smallpool @ (62,59)
  Event 16: !bigpool @ (67,57)
  Event 17: !smallpool @ (62,39)
  Event 18: vent @ (72,71)
  Event 19: !smallpool @ (76,55)
  Event 20: !bigpool @ (30,62)
  Event 21: !bigpool @ (43,59)
  Event 22: !bigpool @ (74,45)
  Event 23: !smallpool @ (70,36)
  Event 24: !smallpool @ (66,42)
  Event 25: vent @ (63,75)
  Event 26: !smallpool @ (81,28)
  Event 27: !smallpool @ (84,33)
  Event 28: !smallpool @ (86,19)
  Event 29: !smallpool @ (86,27)
  Event 30: !smallpool @ (77,32)
  Event 31: !smallpool @ (44,65)
  Event 32: !smallpool @ (23,53)
  Event 33: !smallpool @ (23,65)
  Event 34: !smallpool @ (29,67)
  Event 35: !smallpool @ (30,51)
  Event 36: vent @ (71,74)
  Event 37: vent @ (63,68)
  Event 38: vent @ (74,65)
  Event 39: vent @ (65,59)
  Event 40: cannot breathe @ (51,76)
  Event 41: FAST TRAVEL @ (58,56)
  Event 42: !specialpool @ (37,64)
    Page0: trigger=0  <face @niko_speak So...\.\. we're filling up the syringe, \p?> | <face @niko I guess it's kind of like a funnel...> | <face @niko But the liquid might be a bit too thick to fit in the needle...> | <face @niko Hey, it actually went in!> | <face @niko_eyeclosed Gross.> | <face @niko You want me to fill the bottle with this stuff, \p?> | <face @niko ...> | <face @niko_eyeclosed It's too goopy to fit in the bottle opening...> | <face @niko It's like that one time years ago when I tried to put tomato chowder in a baby bottle...> | <face @niko_speak ...and then it got everywhere!> | <face @niko_eyeclosed On the table, on my clothes, on the baby, on the baby's clothes...> | <face @niko The grown-ups thought it was hilarious.\> \@niko_eyeclosed They took a bunch of pictures.> | <face @niko_speak And then they taught me how to use funnels!> | <face @niko_eyeclosed And then they also told me I shouldn't try to babysit until I'm older.> | <face @niko ...anyway we should probably look for a funnel or something!> | <face @niko You want me to fill the bottle with this stuff, \p?> | <face @niko Alright... lemme just take out the cork, and...> | <face @niko_eyeclosed ...all the smoke escaped.> | <face @niko_speak There's already some of this stuff in the bottle, \p!> | <face @niko This pond sure looks different...> | <face @niko The water looks like... jelly?> | <face @niko It's formed a bubble over the surface of the pond.>
  Event 43: vent @ (75,59)
  Event 44: small vent @ (44,35)
    Page0: trigger=0  <face @niko I guess you want me to fill the bottle with this gas, \p?> | <face @niko ...> | <face @niko That oughta do it.> | <face @niko This bottle is already full of this smoke!> | <face @niko I guess you want me to fill the bottle with this gas, \p?> | <face @niko Alright lemme just ...\> turn this bottle upside down...> | <face @niko_eyeclosed ...aaaaand there goes the pond water.> | <face @niko But at least we have this smoke...> | <face @niko_speak This vent is on the ground!> | <face @niko All the others are taller than me.>
  Event 45: gasmask on @ (49,76)
  Event 46: EV046 @ (117,26)
  Event 47: EV047 @ (14,58)
    Page0: trigger=0  <face [THE SKY IS DARK.]> | <face @niko That it is.> | <face [DO YOU KNOW WHEN THE SUN WILL BE BACK UP?]> | <face @niko_speak We're working on it!>
  Event 48: EV048 @ (77,77)
  Event 49: EV049 @ (74,76)
  Event 50: EV050 @ (78,87)
  Event 51: EV051 @ (75,85)
  Event 52: EV052 @ (79,70)
  Event 53: EV053 @ (82,67)
  Event 54: EV054 @ (80,79)
  Event 55: EV055 @ (73,84)
  Event 56: EV056 @ (71,84)
  Event 57: EV057 @ (67,87)
  Event 58: EV058 @ (68,86)
  Event 60: EV060 @ (70,85)
  Event 62: EV062 @ (82,82)
  Event 63: EV063 @ (88,59)
  Event 64: EV064 @ (87,51)
  Event 65: EV065 @ (86,52)
  Event 66: EV066 @ (84,56)
  Event 67: EV067 @ (81,50)
  Event 68: EV068 @ (80,53)
  Event 69: EV069 @ (83,55)
  Event 70: EV070 @ (86,57)
  Event 71: EV071 @ (89,49)
  Event 72: EV072 @ (80,59)
  Event 73: EV073 @ (88,63)
  Event 74: EV074 @ (84,62)
  Event 75: EV075 @ (84,70)
  Event 76: EV076 @ (77,59)
  Event 77: EV077 @ (79,58)
  Event 79: EV079 @ (81,66)
  Event 81: EV081 @ (83,63)
  Event 82: EV082 @ (78,63)
  Event 86: EV086 @ (85,56)
  Event 87: EV087 @ (87,58)
  Event 88: EV088 @ (88,50)
  Event 89: EV089 @ (85,45)
  Event 90: EV090 @ (86,46)
  Event 91: EV091 @ (84,46)
  Event 92: EV092 @ (82,44)
  Event 93: EV093 @ (83,43)
  Event 94: EV094 @ (84,44)
  Event 95: EV095 @ (85,37)
  Event 96: EV096 @ (90,31)
  Event 98: EV098 @ (92,30)
  Event 99: EV099 @ (88,32)
  Event 100: EV100 @ (87,33)
  Event 101: EV101 @ (86,36)
  Event 102: EV102 @ (94,29)
  Event 108: EV108 @ (97,28)
  Event 109: EV109 @ (100,28)
  Event 114: EV114 @ (103,27)
  Event 116: EV116 @ (105,27)
  Event 119: EV119 @ (107,26)
  Event 120: EV120 @ (108,25)
  Event 122: EV122 @ (110,25)
  Event 124: EV124 @ (114,27)
  Event 128: EV128 @ (112,26)
  Event 132: EV132 @ (120,27)
  Event 134: EV134 @ (79,78)
  Event 135: EV135 @ (77,86)
  Event 146: EV146 @ (90,37)
  Event 147: EV147 @ (99,31)
  Event 150: EV150 @ (92,65)
  Event 151: EV151 @ (89,53)
  Event 152: EV152 @ (82,48)
  Event 153: EV153 @ (80,66)
  Event 154: EV154 @ (87,76)
  Event 155: EV155 @ (81,86)
  Event 156: EV156 @ (74,79)
  Event 158: EV158 @ (79,61)
  Event 159: EV159 @ (86,60)
  Event 161: EV161 @ (78,81)
  Event 162: EV162 @ (83,84)
  Event 164: EV164 @ (89,69)
  Event 165: EV165 @ (91,63)
  Event 166: EV166 @ (92,34)
  Event 167: EV167 @ (106,31)
  Event 169: EV169 @ (113,29)
  Event 170: EV170 @ (118,29)
  Event 171: EV171 @ (121,33)
  Event 172: EV172 @ (104,30)
  Event 173: EV173 @ (94,36)
  Event 175: EV175 @ (92,48)
  Event 176: EV176 @ (92,60)
  Event 177: EV177 @ (86,64)
  Event 179: EV179 @ (86,76)
  Event 181: EV181 @ (88,67)
  Event 182: EV182 @ (91,55)
  Event 183: EV183 @ (92,70)
  Event 184: EV184 @ (73,81)
  Event 185: EV185 @ (96,33)
  Event 186: EV186 @ (89,33)
  Event 187: EV187 @ (102,34)
  Event 189: EV189 @ (119,33)
  Event 190: EV190 @ (89,43)
  Event 191: EV191 @ (112,28)
  Event 192: EV192 @ (121,30)
  Event 193: EV193 @ (115,29)
  Event 194: EV194 @ (108,27)
  Event 195: EV195 @ (101,29)
  Event 197: EV197 @ (90,35)
  Event 198: EV198 @ (88,36)
  Event 199: EV199 @ (89,41)
  Event 200: EV200 @ (90,46)
  Event 202: EV202 @ (87,54)
  Event 204: EV204 @ (81,60)
  Event 205: EV205 @ (82,70)
  Event 206: EV206 @ (82,77)
  Event 207: EV207 @ (80,83)
  Event 208: EV208 @ (85,85)
  Event 210: EV210 @ (77,63)
  Event 211: EV211 @ (83,74)
  Event 212: EV212 @ (85,59)
  Event 214: EV214 @ (86,84)
  Event 215: EV215 @ (92,38)
  Event 216: EV216 @ (99,34)
  Event 217: EV217 @ (114,33)
  Event 219: EV219 @ (107,29)
  Event 221: EV221 @ (87,52)
  Event 223: EV223 @ (80,80)
  Event 224: EV224 @ (81,84)
  Event 225: EV225 @ (82,72)
  Event 226: EV226 @ (77,60)
  Event 227: EV227 @ (84,48)
  Event 228: EV228 @ (89,51)
  Event 231: EV231 @ (118,31)
  Event 233: EV233 @ (95,30)
  Event 234: EV234 @ (92,42)
  Event 236: EV236 @ (91,58)
  Event 237: EV237 @ (87,73)
  Event 240: EV240 @ (89,80)
  Event 241: EV241 @ (76,80)
  Event 242: EV242 @ (80,62)
  Event 243: EV243 @ (90,66)
  Event 244: EV244 @ (87,39)
  Event 245: EV245 @ (103,29)
  Event 247: EV247 @ (112,30)
  Event 249: EV249 @ (87,35)
  Event 250: EV250 @ (87,42)
  Event 251: EV251 @ (83,45)
  Event 253: EV253 @ (80,63)
  Event 254: EV254 @ (79,73)
  Event 257: EV257 @ (73,85)
  Event 258: EV258 @ (76,78)
  Event 259: EV259 @ (79,65)
  Event 260: EV260 @ (81,54)
  Event 261: EV261 @ (88,64)
  Event 262: EV262 @ (85,39)
  Event 263: EV263 @ (94,32)
  Event 265: EV265 @ (110,27)
  Event 266: EV266 @ (116,32)
  Event 267: EV267 @ (118,27)
  Event 269: EV269 @ (109,26)
  Event 272: EV272 @ (93,31)
  Event 273: EV273 @ (94,34)
  Event 277: EV277 @ (85,47)
  Event 280: EV280 @ (93,60)
  Event 281: EV281 @ (86,62)
  Event 282: EV282 @ (80,61)
  Event 284: EV284 @ (89,68)
  Event 285: EV285 @ (87,72)
  Event 286: EV286 @ (91,74)
  Event 287: EV287 @ (81,74)
  Event 288: EV288 @ (77,65)
  Event 290: EV290 @ (78,78)
  Event 291: EV291 @ (73,77)
  Event 293: EV293 @ (74,87)
  Event 294: EV294 @ (83,68)
  Event 295: EV295 @ (71,86)
  Event 296: EV296 @ (75,77)
  Event 298: EV298 @ (84,72)
  Event 299: EV299 @ (79,60)
  Event 300: EV300 @ (88,61)
  Event 301: EV301 @ (81,51)
  Event 302: EV302 @ (86,68)
  Event 304: EV304 @ (83,47)
  Event 309: EV309 @ (114,31)
  Event 310: EV310 @ (103,33)
  Event 311: EV311 @ (97,36)
  Event 312: EV312 @ (94,44)
  Event 314: EV314 @ (78,67)
  Event 315: EV315 @ (110,32)
  Event 316: EV316 @ (98,32)
  Event 318: EV318 @ (89,40)
  Event 321: EV321 @ (84,57)
  Event 322: EV322 @ (87,65)
  Event 323: EV323 @ (83,71)
  Event 324: EV324 @ (84,79)
  Event 326: EV326 @ (83,87)
  Event 328: EV328 @ (79,63)
  Event 329: EV329 @ (81,68)
  Event 331: EV331 @ (83,50)
  Event 333: EV333 @ (91,49)
  Event 334: EV334 @ (86,37)
  Event 335: EV335 @ (91,32)
  Event 336: EV336 @ (99,29)
  Event 337: EV337 @ (105,28)
  Event 339: EV339 @ (49,30)
    Page0: trigger=0  <face $Initially, the amount of noxious fumes emitted by the natural gas vents caught our team off-guard.> | <face $Thank goodness the medical team reacted as quickly as they did.> | <face > | <face $Despite its failure, that first expedition did bring up some interesting observations about the Barrens.> | <face $We found that there's not one, but two such vent zones.> | <face > | <face $With fumes being pumped out at such high concentrations...> | <face $...it seems a miracle that the gas hasn't spread anywhere else.> | <face > | <face $Our biologists concluded that the phosphor shrimp in the crater pools were actively consuming the gas.> | <face $The shrimp in the ocean also prevent the gas from wafting off into the Glen.> | <face > | <face $If that's the case, then we owe a lot to these little guys!>
  Event 340: EV340 @ (89,60)
