Map 76: 110 - mechanical drawing  (35x30, tileset=3)

  Event 1: exit @ (16,23)
  Event 2: exit @ (17,23)
  Event 3: exit @ (18,23)
  Event 4: EV004 @ (7,21)
    Page0: trigger=0  <face @niko A robot. It's beyond repair...>
  Event 5: indoors @ (22,24)
  Event 6: ladder @ (8,19)
  Event 7: ladder @ (6,19)
  Event 8: ladder @ (9,19)
  Event 9: Map Events @ (7,16)
  Event 10: ladder @ (7,19)
    Page0: trigger=1  <face @niko I'm scared of ladders...>
  Event 11: ladder @ (10,19)
  Event 12: ladder @ (11,19)
  Event 13: ladder @ (12,19)
  Event 14: ladder @ (13,19)
  Event 15: ladder @ (14,19)
  Event 16: ladder @ (15,19)
  Event 17: ladder @ (16,19)
  Event 18: ladder @ (17,19)
  Event 19: ladder @ (18,19)
  Event 20: ladder @ (19,19)
  Event 21: ladder @ (20,19)
  Event 22: ladder @ (21,19)
  Event 23: ladder @ (22,19)
  Event 24: ladder @ (23,19)
  Event 25: ladder @ (24,19)
  Event 26: ladder @ (25,19)
  Event 27: ladder @ (26,19)
  Event 28: ladder @ (27,19)
  Event 29: ladder @ (28,19)
  Event 30: EV030 @ (23,20)
    Page0: trigger=0  <face $Evacuation? At such short notice?> | <face $I can't believe this...> | <face $First the sun dies, now I'm out of a job...>
  Event 31: EV031 @ (27,21)
    Page0: trigger=0  <face @niko Some sort of mechanical drawing.>
