Map 78: 117 - mom  (35x30, tileset=3)

  Event 1: exit @ (16,23)
  Event 2: exit @ (17,23)
  Event 3: exit @ (18,23)
  Event 4: indoors @ (22,24)
  Event 5: ladder left @ (3,16)
  Event 6: ladder right @ (3,17)
  Event 7: ladder @ (7,19)
    Page0: trigger=1  <face @niko I'm scared of ladders...>
  Event 8: Map Events @ (7,16)
  Event 9: ladder @ (27,19)
  Event 10: ladder @ (28,19)
  Event 11: ladder @ (26,19)
  Event 12: ladder @ (25,19)
  Event 13: ladder @ (24,19)
  Event 14: ladder @ (23,19)
  Event 15: ladder @ (22,19)
  Event 16: ladder @ (20,19)
  Event 17: ladder @ (21,19)
  Event 18: ladder @ (19,19)
  Event 19: ladder @ (18,19)
  Event 20: ladder @ (17,19)
  Event 21: ladder @ (16,19)
  Event 22: ladder @ (15,19)
  Event 23: ladder @ (14,19)
  Event 24: ladder @ (13,19)
  Event 25: ladder @ (12,19)
  Event 26: ladder @ (11,19)
  Event 27: ladder @ (10,19)
  Event 28: ladder @ (9,19)
  Event 29: ladder @ (6,19)
  Event 30: ladder @ (8,19)
  Event 31: EV031 @ (26,21)
    Page0: trigger=0  <face > | <face $Hey sweetie,> | <face $Six more weeks until you can come home!> | <face $'bout time, huh?> | <face > | <face $Gosh, I can't imagine living in that awful capsule wall...dorm... thing!> | <face $But guess what? Soon you'll get to sleep in a real bed and eat real food again!> | <face > | <face $Write back soon!> | <face $\n> | <face $\n-love, mom.> | <face > | <face @niko Aww...>
  Event 32: EV032 @ (7,22)
    Page0: trigger=0  <face $Looks like we're supposed to pack stuff for the evacuation starting today...> | <face $I wish these books weren't so heavy...it's gonna be a pain to carry them onto the ship.> | <face > | <face $But they're by the Author! I can't just throw them away!>
