Map 79: 112 - infirmary  (35x30, tileset=3)

  Event 1: exit @ (16,23)
  Event 2: exit @ (17,23)
  Event 3: exit @ (18,23)
  Event 4: indoors @ (22,24)
  Event 5: first aid kit @ (7,22)
    Page0: trigger=0  <face @niko It's a box of medical tools.> | <face @niko Most of them are broken or rusted beyond use, but...> | <face @niko_speak This plastic syringe seems to be okay.>
  Event 6: EV006 @ (7,18)
    Page0: trigger=0  <face [HELLO, PERSON!]> | <face [ARE YOU SEEKING ADMISSION INTO THE INFIRMARY?]> | <face @niko No?> | <face [OH. CARRY ON, THEN.]>
  Event 7: EV007 @ (6,18)
  Event 8: block @ (8,18)
  Event 9: EV009 @ (20,20)
    Page0: trigger=0  <face [HELLO, PERSON OF ORGANIC MAKEUP!]> | <face [WELCOME TO THE INFIRMARY]> | <face [SCANNING FOR INJURIES...]> | <face [...]> | <face @niko Um...> | <face [SCAN COMPLETE]> | <face [INJURIES DETECTED: NONE]> | <face [TREATMENT REQUIRED: NONE]> | <face [YOU ARE GOOD TO GO.]> | <face @niko Er...thanks?>
  Event 10: ladder @ (9,19)
  Event 11: ladder @ (10,19)
  Event 12: ladder @ (11,19)
  Event 13: ladder @ (12,19)
  Event 14: ladder @ (13,19)
  Event 15: ladder @ (14,19)
  Event 16: ladder @ (15,19)
  Event 17: ladder @ (16,19)
  Event 18: ladder @ (17,19)
  Event 19: ladder @ (18,19)
  Event 20: ladder @ (19,19)
  Event 21: ladder @ (20,19)
  Event 22: ladder @ (21,19)
  Event 23: ladder @ (22,19)
  Event 24: ladder @ (23,19)
  Event 25: ladder @ (24,19)
  Event 26: ladder @ (25,19)
  Event 27: ladder @ (26,19)
  Event 28: ladder @ (27,19)
  Event 29: ladder @ (28,19)
  Event 30: Map Events @ (3,14)
