Map 80: 118 - robot voice  (35x30, tileset=3)

  Event 1: exit @ (16,23)
  Event 2: exit @ (17,23)
  Event 3: exit @ (18,23)
  Event 4: indoors @ (22,24)
  Event 5: Map Events @ (4,15)
    Page1: trigger=3  <face [HELLO!]> | <face @niko_speak Hi!> | <face @niko What are you doing up there?> | <face [I AM STATIONED HERE.]> | <face @niko By yourself?> | <face [YES.]>
  Event 6: ladder @ (17,19)
  Event 7: ladder @ (16,19)
  Event 8: ladder @ (15,19)
  Event 9: friend @ (9,12)
  Event 10: ladder @ (14,19)
  Event 11: ladder @ (13,19)
  Event 12: ladder @ (12,19)
  Event 13: ladder @ (11,19)
  Event 14: ladder @ (10,19)
  Event 15: ladder @ (9,19)
  Event 16: ladder @ (8,19)
  Event 17: ladder @ (7,19)
  Event 18: ladder @ (6,19)
  Event 19: ladder @ (18,19)
  Event 20: ladder NOROBOT @ (19,19)
  Event 21: ladder NOROBOT @ (20,19)
  Event 22: ladder NOROBOT @ (21,19)
  Event 23: ladder NOROBOT @ (22,19)
  Event 24: ladder NOROBOT @ (23,19)
  Event 25: ladder NOROBOT @ (24,19)
  Event 26: ladder NOROBOT @ (25,19)
  Event 27: ladder NOROBOT @ (26,19)
  Event 28: ladder NOROBOT @ (27,19)
  Event 29: ladder NOROBOT @ (28,19)
  Event 31: EV031 @ (27,21)
    Page0: trigger=0  <face @niko A picture of a robot.> | <face @niko A picture of a robot.> | <face @niko_speak ...Y'know, I've never been around so many robots before, \p!> | <face @niko Or... \.\. any robots at all...> | <face @niko_speak I mean, I see them in cartoons and stuff, but I've never seen one in person!> | <face @niko They're pretty neat, don't you think?> | <face @niko Yeah!> | <face @niko ...> | <face @niko_speak ...What?> | <face @niko um...> | <face @niko_eyeclosed *ahem*> | <face @niko [BEEEP BOOP]> | <face @niko_speak [I'M A ROBOT AND I... \. EAT BATTERIES...\. INSTEAD OF NORMAL PEOPLE FOOD!]> | <face @niko_83c Hehe...> | <face [THAT IS NOT CORRECT.]> | <face [ROBOTS DO NOT CONSUME BATTERIES IN THE SAME WAY PEOPLE CONSUME FOOD.]> | <face [IN FACT, ROBOTS DO NOT POSSESS DIGESTIVE SYSTEMS.]> | <face [SOME ROBOTS DO NOT EVEN HAVE MOUTHS.]> | <face @niko \p...\. \>\@niko_eyeclosed you made me look silly...>
