Map 86: To Tower  (180x130, tileset=16)

  Event 1: EV001 @ (59,95)
  Event 2: EV002 @ (60,95)
  Event 3: EV003 @ (139,95)
  Event 4: EV004 @ (140,95)
  Event 5: EV005 @ (99,56)
  Event 6: EV006 @ (100,56)
  Event 7: map events @ (143,93)
    Page0: trigger=3  <face @niko It looks like I can unlock this door...>
  Event 8: not x room time @ (103,55)
  Event 9: indoor graphic @ (135,97)
  Event 10: EV010 @ (94,59)
  Event 11: EV011 @ (93,58)
  Event 12: EV012 @ (92,57)
  Event 13: EV013 @ (105,59)
  Event 14: EV014 @ (107,57)
  Event 15: EV015 @ (106,58)
  Event 16: EV016 @ (96,60)
  Event 17: EV017 @ (98,60)
  Event 18: EV018 @ (101,60)
  Event 19: EV019 @ (104,60)
  Event 20: EV020 @ (103,60)
  Event 21: EV021 @ (102,60)
  Event 22: EV022 @ (97,60)
  Event 23: EV023 @ (95,60)
