Map 93: Factory interior2  (45x18, tileset=11)

  Event 1: exit @ (20,14)
  Event 2: exit @ (21,14)
  Event 3: gloves :bottom @ (26,9)
    Page0: trigger=0  <face @niko It's a pair of rubber gloves.\nThey're a bit heavy.>
  Event 4: door boards @ (19,7)
  Event 5: indoors @ (23,15)
  Event 6: door boards @ (19,6)
  Event 7: door boards @ (20,6)
  Event 8: door boards @ (21,6)
  Event 9: door boards @ (22,6)
  Event 10: door boards @ (22,7)
  Event 11: door boards left @ (20,7)
  Event 12: door boards left @ (21,7)
  Event 13: Map Events @ (26,4)
    Page0: trigger=3  <face @niko_speak You...want me to smash the boards with the pipe?> | <face @niko I can't do that! We'll have to pry them off!> | <face @niko_eyeclosed But I don't think I can do that with a pipe...> | <face @niko_speak Good thing I kept this crowbar!> | <face @niko_eyeclosed What a workout...> | <face @niko The door is all boarded up...> | <face @niko_speak The boards seem loose, though! I should be able to pull them off with the right tool...>
  Event 14: boards on floor @ (19,8)
  Event 15: boards on floor @ (20,8)
  Event 16: boards on floor @ (21,8)
  Event 17: EV017 @ (35,8)
    Page1: trigger=0  <face [HELLO, PERSON.]> | <face [THE ROBOT ASSEMBLY AND REPAIR SERVICES HAVE BEEN DISCONTINUED AT THE BARRENS.]> | <face [IF YOU HAVE FURTHER INQUIRY, PLEASE CONTACT THE HEAD ENGINEER.]>
  Event 18: EV018 @ (36,11)
    Page0: trigger=0  <face @niko This seems to be a page ripped out of a book.> | <face $-cannot overstate the importance of cleaning solvents in this environment.> | <face $Here is a simple recipe using the alternative method discussed in the last chapter, utilizing the natural properties of blue phosphor.> | <face > | <face $Reagents:> | <face $-Acidic gas> | <face $-Blue phosphor (rare form)> | <face > | <face $Instructions:> | <face $1) In a well-ventilated area, direct the gas into your container of choice.> | <face $Seal immediately.> | <face @niko That's the end of the page...>
  Event 19: EV019 @ (12,10)
    Page1: trigger=0  <face [HELLO, PERSON.]> | <face [WELCOME TO THE OLD CHEMICAL PROCESSING PLANT.]> | <face [MOST OF THE EQUIPMENT HAS ALREADY BEEN RELOCATED.]>
  Event 20: gasmask off @ (26,2)
  Event 21: coals @ (28,9)
  Event 22: coals @ (29,9)
  Event 23: coals @ (30,10)
  Event 24: coals @ (31,10)
  Event 25: coals @ (33,9)
  Event 26: coals @ (34,9)
  Event 27: coals @ (40,9)
  Event 28: coals @ (41,9)
