Map 95: Hall1  (72x25, tileset=7)

  Event 1: block @ (11,11)
  Event 2: block @ (60,11)
  Event 3: east exit @ (62,12)
  Event 4: east exit @ (62,13)
  Event 5: west exit @ (9,12)
  Event 6: west exit @ (9,13)
  Event 7: door 1 @ (42,10)
  Event 8: door 2 @ (24,10)
  Event 9: door 3 @ (14,10)
  Event 10: bathroom @ (35,17)
  Event 11: bathroom @ (36,17)
  Event 13: EV013 @ (19,10)
  Event 14: EV014 @ (52,10)
  Event 15: EV015 @ (29,10)
  Event 16: EV016 @ (47,10)
  Event 17: EV017 @ (57,10)
  Event 18: MapDoorEventSpawn @ (35,5)
  Event 19: MapDoorEvent @ (36,5)
