Map 114: left-terminals  (56x40, tileset=14)

  Event 1: EV001 @ (24,23)
    Page0: trigger=0  <face Monitoring...monitoring....>
  Event 2: west door @ (41,20)
  Event 3: west door @ (41,21)
  Event 4: exit @ (29,27)
  Event 5: exit @ (30,27)
  Event 6: EV006 @ (21,17)
  Event 7: EV007 @ (24,17)
  Event 8: EV008 @ (27,17)
  Event 9: EV009 @ (30,17)
  Event 10: EV010 @ (33,17)
  Event 11: EV011 @ (36,17)
  Event 12: EV012 @ (30,18)
    Page0: trigger=0  <face I'm picking up some more disruptions in sector 8 of the city.> | <face This is consistent with our earlier findings... not good at all...>
  Event 13: EV013 @ (39,18)
    Page0: trigger=0  <face The Barrens engineer just reported another sighting of the particles in the cliff area.> | <face ...well, nothing unusal at this point.>
  Event 14: EV014 @ (33,22)
    Page0: trigger=0  <face Ugh, those squares particles just took out two of my robots in the Glen.> | <face We might have to put off the water analysis project for now.>
  Event 15: EV015 @ (34,21)
  Event 16: map event @ (17,20)
    Page0: trigger=3  <face @niko I want to press all of the buttons...\>\n\@niko_eyeclosed But I must resist!> | <face @niko There sure are a lot of computers here...\>\nAnd they look important, too.>
  Event 17: EV017 @ (31,21)
  Event 18: EV018 @ (28,21)
  Event 19: EV019 @ (25,21)
  Event 20: EV020 @ (22,21)
  Event 21: EV021 @ (20,17)
  Event 22: EV022 @ (22,17)
  Event 23: EV023 @ (23,17)
  Event 24: EV024 @ (25,17)
  Event 25: EV025 @ (26,17)
  Event 26: EV026 @ (28,17)
  Event 27: EV027 @ (29,17)
  Event 28: EV028 @ (31,17)
  Event 29: EV029 @ (32,17)
  Event 30: EV030 @ (34,17)
  Event 31: EV031 @ (35,17)
  Event 32: EV032 @ (37,17)
  Event 33: EV033 @ (35,21)
  Event 34: EV034 @ (33,21)
  Event 35: EV035 @ (32,21)
  Event 36: EV036 @ (30,21)
  Event 37: EV037 @ (29,21)
  Event 38: EV038 @ (27,21)
  Event 39: EV039 @ (26,21)
  Event 40: EV040 @ (24,21)
  Event 41: EV041 @ (23,21)
  Event 42: EV042 @ (21,21)
  Event 43: indoor graphic @ (26,29)
