Map 127: Research Station  (100x100, tileset=4)

  Event 1: EV001 @ (57,33)
  Event 2: EV002 @ (27,33)
    Page0: trigger=0  <face @niko Do you know where I could find a battery for a flying machine?> | <face [I HAVE A BATTERY INTEGRATED INTO MY SYSTEM.]> | <face [IT CANNOT BE USED TO POWER OTHER THINGS.]> | <face @niko Ah...>
  Event 3: EV003 @ (26,29)
    Page0: trigger=0  <face [STAY SAFE.]> | <face @niko_speak You too!> | <face [HELLO, PERSON.]> | <face [THE RESEARCH STATION IS CURRENTLY EXPERIENCING SOME TECHNICAL DIFFICULTIES.]> | <face @niko2 I can tell...> | <face @niko_eyeclosed Even the bridge on the way here was...> | <face [ARE YOU SENT HERE BY DR. SILVERPOINT?]> | <face @niko_speak ...no?> | <face [OH, CARRY ON, THEN.]> | <face @niko By the way, do you know where I could find a battery for a flying machine?> | <face [I DO NOT.]> | <face @niko Alright...>
  Event 4: north door @ (69,51)
  Event 5: door left @ (86,47)
  Event 6: door left @ (87,46)
  Event 7: EV007 @ (37,30)
    Page0: trigger=0  <face [ANOMALIES ARE INCREASING...]>
  Event 8: door left @ (39,30)
  Event 9: EV009 @ (31,30)
    Page0: trigger=0  <face @niko_speak Do you know where I could find a battery for a flying machine?> | <face [HAVE YOU CHECKED THE POWER ROOM?]>
  Event 10: EV010 @ (15,36)
    Page0: trigger=0  <face @niko Would you happen to know where I can find a battery for a flying machine?> | <face [WHAT IS A FLYING MACHINE.]> | <face @niko_eyeclosed Nevermind.>
  Event 11: EV011 @ (19,27)
    Page0: trigger=0  <face [SOME VINES JUST GREW AROUND THIS BRIDGE.]> | <face [ALMOST AS IF IT WAS AN INTENTIONAL REPAIR EFFORT.]> | <face @niko_eyeclosed Yeah...>
  Event 12: north exit @ (20,19)
  Event 13: north exit @ (21,19)
  Event 14: init @ (41,23)
  Event 15: EV015 @ (11,35)
  Event 16: EV016 @ (28,39)
  Event 17: EV017 @ (27,39)
  Event 18: EV018 @ (30,37)
  Event 19: EV019 @ (32,36)
  Event 20: EV020 @ (57,38)
  Event 21: EV021 @ (53,39)
  Event 22: EV022 @ (60,36)
  Event 23: EV023 @ (59,64)
  Event 24: EV024 @ (58,64)
  Event 25: EV025 @ (69,64)
  Event 26: EV026 @ (74,62)
  Event 27: EV027 @ (79,58)
  Event 28: EV028 @ (81,54)
  Event 29: EV029 @ (50,61)
  Event 30: EV030 @ (49,61)
  Event 31: EV031 @ (43,41)
  Event 32: EV032 @ (41,53)
  Event 33: EV033 @ (35,35)
  Event 34: EV034 @ (20,40)
  Event 35: EV035 @ (21,40)
  Event 36: EV036 @ (68,40)
  Event 37: EV037 @ (69,42)
  Event 38: EV038 @ (52,63)
  Event 39: EV039 @ (63,63)
  Event 40: EV040 @ (62,63)
  Event 41: EV041 @ (54,64)
  Event 42: EV042 @ (42,55)
  Event 43: EV043 @ (66,39)
  Event 44: EV044 @ (56,39)
  Event 45: EV045 @ (49,40)
  Event 46: EV046 @ (45,41)
  Event 47: EV047 @ (34,36)
  Event 48: EV048 @ (37,33)
  Event 49: EV049 @ (16,31)
  Event 50: EV050 @ (16,38)
  Event 51: EV051 @ (13,37)
  Event 52: EV052 @ (29,38)
  Event 53: EV053 @ (44,58)
  Event 54: EV054 @ (71,44)
  Event 55: EV055 @ (59,37)
  Event 56: EV056 @ (40,38)
  Event 57: EV057 @ (52,40)
  Event 58: EV058 @ (55,39)
  Event 59: EV059 @ (58,38)
  Event 60: EV060 @ (67,39)
  Event 61: EV061 @ (70,42)
  Event 62: EV062 @ (84,49)
  Event 63: EV063 @ (80,56)
  Event 64: EV064 @ (77,61)
  Event 65: EV065 @ (70,64)
  Event 66: EV066 @ (72,64)
  Event 67: EV067 @ (65,63)
  Event 68: EV068 @ (60,63)
  Event 69: EV069 @ (55,64)
  Event 70: EV070 @ (51,62)
  Event 71: EV071 @ (47,60)
  Event 72: EV072 @ (43,57)
  Event 73: EV073 @ (33,36)
  Event 74: EV074 @ (25,39)
  Event 75: EV075 @ (23,40)
  Event 76: EV076 @ (17,39)
  Event 77: EV077 @ (12,36)
  Event 78: EV078 @ (14,37)
  Event 79: EV079 @ (18,39)
  Event 80: EV080 @ (26,39)
  Event 81: EV081 @ (22,40)
  Event 82: EV082 @ (31,37)
  Event 83: EV083 @ (41,40)
  Event 84: EV084 @ (46,40)
  Event 85: EV085 @ (44,41)
  Event 86: EV086 @ (51,40)
  Event 87: EV087 @ (54,39)
  Event 88: EV088 @ (83,51)
  Event 89: EV089 @ (75,62)
  Event 90: EV090 @ (78,60)
  Event 91: EV091 @ (67,63)
