Map 128: Courtyard  (70x50, tileset=4)

  Event 1: EV001 @ (51,17)
    Page0: trigger=0  <face @niko It's a ball.> | <face @alula That's mine!\>\n\@alula_pout It doesn't bounce around as much as it used to, though...>
  Event 2: decorative bell @ (48,15)
  Event 3: north door @ (41,16)
  Event 4: EV004 @ (24,11)
  Event 5: EV005 @ (25,11)
  Event 6: alula npc @ (29,17)
    Page1: trigger=3  <face @alula_speak Hey!> | <face @alula I saw you going to the courtyard!\>\n\@alula_speak So I thought I'd tag along!> | <face @calamus_smile Same!>
    Page2: trigger=0  <face @alula This is the courtyard.\>\n\@alula It's got water...and...stuff...>
    Page3: trigger=0  <face @alula_oh Oh, are you leaving now?> | <face @alula_speak Good luck, Niko! \>\n\@alula We believe in you!>
  Event 7: EV007 @ (22,12)
  Event 8: EV008 @ (22,13)
  Event 9: EV009 @ (22,14)
  Event 10: EV010 @ (22,15)
  Event 11: EV011 @ (23,16)
  Event 12: EV012 @ (24,16)
  Event 13: EV013 @ (25,16)
  Event 14: EV014 @ (26,16)
  Event 15: EV015 @ (27,15)
  Event 16: EV016 @ (27,14)
  Event 17: EV017 @ (27,13)
  Event 18: calamus npc @ (24,14)
    Page1: trigger=0  <face @calamus There's an entrance to an underground passage here.\>\nIt's flooded, though.>
    Page2: trigger=0  <face @calamus_speak Oh, are you leaving now?\>\n\@calamus_smile It was...nice, to meet you.\>\n\@calamus Really. Thanks for everything.>
  Event 19: EV019 @ (39,8)
  Event 20: EV020 @ (52,8)
  Event 21: EV021 @ (56,9)
  Event 22: EV022 @ (58,8)
  Event 23: FAST TRAVEL @ (24,12)
  Event 24: init @ (24,7)
  Event 25: EV025 @ (48,31)
  Event 26: coals @ (51,11)
  Event 27: coals @ (52,11)
  Event 28: coals @ (53,11)
  Event 29: coals @ (54,11)
  Event 30: coals @ (29,14)
  Event 31: coals @ (30,14)
  Event 32: coals @ (31,14)
  Event 33: coals @ (32,14)
  Event 34: coals @ (33,14)
  Event 35: coals @ (33,13)
  Event 36: coals @ (32,13)
  Event 37: coals @ (31,13)
  Event 38: coals @ (30,13)
