Map 183: Basement Stairs  (40x32, tileset=20)

  Event 1: west door @ (9,8)
  Event 2: east door @ (27,23)
  Event 3: stair down @ (12,8)
  Event 4: stair down @ (13,9)
  Event 5: stair down @ (14,10)
  Event 6: stair down @ (15,11)
  Event 7: stair down @ (16,12)
  Event 8: stair down @ (17,13)
  Event 9: stair down @ (18,14)
  Event 10: stair down @ (19,15)
  Event 11: stair down @ (20,16)
  Event 12: stair down @ (21,17)
  Event 13: stair down @ (22,18)
  Event 14: stair down @ (23,19)
  Event 15: stair down @ (24,20)
  Event 16: stair down @ (25,21)
  Event 17: stair down @ (26,22)
  Event 18: stair up @ (12,10)
  Event 19: stair up @ (13,11)
  Event 20: stair up @ (14,12)
  Event 21: stair up @ (15,13)
  Event 22: stair up @ (16,14)
  Event 23: stair up @ (17,15)
  Event 24: stair up @ (18,16)
  Event 25: stair up @ (19,17)
  Event 26: stair up @ (20,18)
  Event 27: stair up @ (21,19)
  Event 28: stair up @ (22,20)
  Event 29: stair up @ (23,21)
  Event 30: stair up @ (24,22)
  Event 31: stair up @ (25,23)
  Event 32: stair up @ (11,9)
  Event 33: ambient @ (10,6)
