Map 184: Hallway  (70x70, tileset=20)

  Event 1: east door @ (11,42)
  Event 2: east door @ (12,42)
  Event 3: EV003 @ (15,32)
  Event 4: EV004 @ (22,32)
  Event 5: EV005 @ (29,32)
  Event 6: EV006 @ (36,32)
  Event 7: EV007 @ (43,32)
  Event 8: stop music1 @ (11,34)
  Event 9: stop music 2 @ (12,34)
  Event 10: map event @ (8,28)
  Event 11: locked door @ (18,35)
  Event 12: locked door @ (19,35)
  Event 13: locked door @ (25,35)
  Event 14: locked door @ (26,35)
  Event 15: locked door @ (32,35)
  Event 16: locked door @ (33,35)
  Event 17: locked door @ (39,35)
  Event 18: locked door @ (40,35)
  Event 19: locked door @ (48,37)
  Event 20: locked door @ (48,44)
  Event 21: locked door @ (48,51)
  Event 22: elevatordoor @ (34,48)
  Event 23: EV023 @ (33,48)
  Event 24: teleport @ (17,32)
  Event 25: teleport @ (17,33)
  Event 26: teleport @ (34,32)
  Event 27: teleport @ (34,33)
  Event 28: teleport @ (46,34)
  Event 29: teleport @ (45,34)
  Event 30: teleport @ (46,44)
  Event 31: teleport @ (45,44)
  Event 32: teleport @ (43,54)
  Event 33:   @ (43,53)
  Event 34: EV034 @ (33,50)
  Event 35: EV035 @ (34,50)
  Event 36: EV036 @ (35,50)
  Event 37: EV037 @ (36,50)
  Event 38: EV038 @ (37,50)
  Event 39: EV039 @ (32,50)
  Event 40: EV040 @ (31,50)
  Event 41: EV041 @ (30,50)
