Map 200: Dock  (94x94, tileset=4)

  Event 1: girl @ (39,49)
    Page0: trigger=0  <face My mommy is making food for everyone!> | <face I want to help her catch fish, but I'm not a grownup yet!>
  Event 2: init @ (19,61)
  Event 3: rowbot @ (16,40)
  Event 4: rowbot @ (16,41)
  Event 5: rowbot @ (17,40)
  Event 6: rowbot @ (17,41)
  Event 7: rowbot @ (18,41)
    Page1: trigger=0  <face @niko The horizon is glowing blue.>
  Event 8: rowbot @ (18,42)
  Event 9: lamp @ (44,53)
  Event 10: door @ (49,36)
  Event 11: north exit @ (40,20)
  Event 12: south exit @ (51,66)
  Event 13: FAST TRAVEL @ (40,40)
  Event 14: water @ (67,50)
  Event 15: rowbot @ (16,42)
  Event 16: rowbot @ (17,42)
  Event 17: north exit @ (41,20)
  Event 18: EV018 @ (24,54)
  Event 19: EV019 @ (23,54)
  Event 20: EV020 @ (22,55)
  Event 21: EV021 @ (20,54)
  Event 22: EV022 @ (21,56)
  Event 23: EV023 @ (19,57)
  Event 24: EV024 @ (22,57)
  Event 25: EV025 @ (20,63)
  Event 26: EV026 @ (19,63)
  Event 27: EV027 @ (18,63)
  Event 28: EV028 @ (22,60)
  Event 29: EV029 @ (24,60)
  Event 30: water @ (42,58)
  Event 31: EV031 @ (45,61)
  Event 32: EV032 @ (29,65)
  Event 33: EV033 @ (28,64)
  Event 34: EV034 @ (28,68)
  Event 35: EV035 @ (24,65)
  Event 36: EV036 @ (36,68)
  Event 37: EV037 @ (37,68)
  Event 38: EV038 @ (32,67)
  Event 39: EV039 @ (30,65)
  Event 40: EV040 @ (31,66)
  Event 41: EV041 @ (33,67)
  Event 42: EV042 @ (34,67)
  Event 43: EV043 @ (35,68)
  Event 44: EV044 @ (38,68)
  Event 45: EV045 @ (27,68)
  Event 46: EV046 @ (26,68)
  Event 47: EV047 @ (25,67)
  Event 48: EV048 @ (26,61)
  Event 49: EV049 @ (25,62)
  Event 50: EV050 @ (23,61)
  Event 51: EV051 @ (40,67)
  Event 52: EV052 @ (39,68)
  Event 53: EV053 @ (41,67)
  Event 54: EV054 @ (43,60)
  Event 55: EV055 @ (46,61)
  Event 56: EV056 @ (44,61)
  Event 57: EV057 @ (25,52)
  Event 58: EV058 @ (26,49)
  Event 59: EV059 @ (26,45)
  Event 60: EV060 @ (25,45)
  Event 61: EV061 @ (27,50)
  Event 62: EV062 @ (27,61)
  Event 63: EV063 @ (15,46)
    Page0: trigger=0  <face @niko The horizon is glowing blue.>
  Event 64: EV064 @ (44,55)
  Event 65: EV065 @ (39,55)
  Event 66: EV066 @ (40,56)
  Event 67: EV067 @ (41,56)
  Event 68: water @ (49,60)
  Event 69: water @ (47,60)
  Event 70: water @ (54,60)
  Event 71: water @ (56,57)
  Event 72: water @ (57,64)
  Event 73: water @ (63,63)
  Event 74: water @ (62,63)
  Event 75: water @ (64,58)
  Event 76: water @ (67,63)
  Event 77: water @ (60,65)
  Event 78: water @ (55,41)
  Event 79: water @ (59,39)
  Event 80: water @ (60,35)
  Event 81: water @ (59,45)
  Event 82: water @ (55,50)
  Event 83: water @ (54,43)
  Event 84: water @ (56,45)
  Event 85: water @ (59,36)
  Event 86: water @ (63,39)
  Event 87: water @ (62,40)
  Event 88: water @ (57,48)
  Event 89: water @ (57,58)
  Event 90: water @ (55,59)
  Event 91: water @ (53,62)
  Event 92: water @ (56,64)
  Event 93: water @ (58,63)
  Event 94: water @ (59,63)
  Event 95: water @ (64,65)
  Event 96: water @ (62,65)
  Event 97: water @ (61,65)
  Event 98: water @ (47,65)
  Event 99: water @ (46,63)
  Event 100: water @ (48,60)
  Event 101: water @ (48,62)
  Event 102: water @ (45,63)
  Event 103: water @ (52,63)
  Event 104: water @ (55,64)
  Event 105: water @ (60,63)
  Event 106: water @ (61,63)
  Event 107: water @ (63,65)
  Event 108: water @ (59,65)
  Event 109: water @ (66,63)
  Event 110: water @ (69,58)
  Event 111: water @ (66,55)
  Event 112: water @ (68,52)
  Event 113: water @ (58,51)
  Event 114: water @ (56,50)
  Event 115: water @ (57,41)
  Event 116: water @ (56,39)
  Event 117: water @ (53,44)
  Event 118: water @ (58,43)
  Event 119: water @ (62,45)
  Event 120: water @ (65,45)
  Event 121: water @ (69,49)
  Event 122: water @ (71,47)
  Event 123: water @ (72,49)
  Event 124: water @ (65,50)
  Event 125: water @ (66,46)
  Event 126: water @ (73,56)
  Event 127: water @ (73,60)
  Event 128: water @ (70,55)
  Event 129: water @ (74,63)
  Event 130: water @ (75,63)
  Event 131: water @ (77,61)
  Event 132: water @ (77,57)
  Event 133: water @ (71,60)
  Event 134: water @ (74,55)
  Event 135: water @ (75,58)
  Event 136: water @ (72,64)
