Map 211: Junction  (40x50, tileset=5)

  Event 1: robot standing @ (20,17)
    Page1: trigger=3  <face [I HAVE LOST COMMUNICATION WITH THE GUARDIAN OUTSIDE THE CITY GATE.]> | <face @niko2 The... big robot, right?> | <face [PLEASE HELP ME CHECK ON THEM.]> | <face [I CANNOT LEAVE MY STATION.]> | <face @niko Alright...>
    Page2: trigger=0  <face [THE DEEPER RUINS ARE AHEAD.]> | <face [DO NOTE THAT THEY ARE PARTIALLY FLOODED.]> | <face @niko3 There's squares all over the big robot...> | <face [AH.]> | <face [THAT IS OUTSIDE MY CAPACITY FOR HELP.]> | <face [YOU MAY PROCEED TO THE DEEPER RUINS.]> | <face @niko4 Alright...> | <face [THE DEEPER RUINS ARE AHEAD.]> | <face [DO NOTE THAT THEY ARE PARTIALLY FLOODED.]>
  Event 2: the wall exit left @ (12,24)
  Event 3: the wall exit right @ (13,24)
  Event 4: ruins entrance left @ (28,27)
  Event 5: ruins entrance right @ (29,27)
  Event 6: indoors @ (9,11)
  Event 7: EV007 @ (20,18)
  Event 8: EV008 @ (20,19)
  Event 9: EV009 @ (20,20)
