Map 213: landing  (55x55, tileset=6)

  Event 1: EV001 @ (10,31)
    Page0: trigger=0  <face This plane doesn't have a runway because night said so that's why. -GIR>
  Event 2: cedric @ (16,38)
    Page0: trigger=3  <face @cedric_sigh ...phew.> | <face @cedric_smile Made it!> | <face @niko_pancakes ...> | <face @cedric3 You...\.\.okay, there?> | <face @niko_pancakes ...\>That was the coolest thing I have ever done in my entire life.> | <face @cedric_smile Heheh...\.\. reactions from first-timers are always delightful to watch.> | <face @niko_pancakes ...> | <face @niko5 ...> | <face @niko6 Hey, \p?> | <face @niko2 That... was really fun.> | <face @niko_speak Did you... have fun too?> | <face @niko_eyeclosed I mean... you weren't on the plane with me, but...> | <face @niko_speak You got to watch it at least, right?> | <face @niko And... \.\.Cedric...?> | <face @cedric3 Yeah?> | <face @niko_eyeclosed Thanks...> | <face @cedric3 ....\.\.What for?> | <face @niko_speak Flying!> | <face @cedric Oh, um...> | <face @cedric_smile You're... \.\.welcome?> | <face @niko_eyeclosed And... for answering my questions back there, too...> | <face @niko5 And... \.\.for telling me more about the World Machine.> | <face @niko_upset I'm just.... \.\.really sorry about what happened to your old world, though...> | <face @niko2 So...\.\. I'll help you the best that I can.> | <face @cedric ...> | <face @niko4 And...\.\. even if it's all just a machine, this world is still...\.\.\@niko2 nice...> | <face @niko_eyeclosed I mean, I got to fly... \.\.I got to see the ocean...> | <face @niko And...\.\.I got to meet a lot of nice people!\n\>\@niko_speak People like you!> | <face @niko_eyeclosed ...and Prototype, even if he's broken right now.> | <face @cedric ...\>\@cedric_smile I'm glad you are taking it so well, Niko.> | <face @cedric2 And... I'm glad that we have met as well.> | <face @cedric_sigh ...Despite the...\.\. circumstances.> | <face @cedric_talk Ah, speaking of Proto... \@cedric_hmm I should probably head off now.> | <face @cedric I need to go pick up the siblings too...> | <face @niko2 That's true...\.\. those two have been waiting for a while now...> | <face @cedric_hmm In the meantime...> | <face @cedric_smile Do you remember what to do to get to the surface?> | <face @niko_speak I remember having to fix an elevator button!> | <face @cedric_hmm Alright, you should attend to that, then.> | <face @cedric_talk Let's meet up here in an hour, okay?> | <face @niko Got it!> | <face @cedric Alright, now lemme just-> | <face @cedric_eek ...> | <face @niko_shock No!> | <face @cedric_eek ...> | <face @niko_shock ...\.\.they're...\.\. trapped on the island...> | <face @niko_distressed ...> | <face @niko_distressed2 ......Calamus....\>Alula....> | <face @niko_distressed2 ...they're ....> | <face @cedric_eek ...> | <face @cedric_eek ....we\.\....don't have much time left.> | <face @cedric_sigh2 Niko... change of plans.> | <face @cedric_sigh Please give me the memory disk.> | <face @niko2 ...alright...> | <face @cedric2 Listen carefully.> | <face @cedric_sigh2 It's likely I'll be targeted again, so we should split up to keep you safe.> | <face @cedric I want you to find a door under a large clock.> | <face @cedric_sigh The room behind it houses a pair of ground access elevators.> | <face @cedric Once you get to the ground, immediately find Rue and bring her back to the room.> | <face @cedric She will know what to do in the meantime.> | <face @niko2 Alright...\.\.\@niko3 What about you, though?> | <face @cedric3 I'm going to bring Prototype back.> | <face @niko_surprised WH-> | <face @niko_surprised Are you okay???> | <face @cedric_talk WHAAAAAT????> | <face @niko_speak ARE YOU OKAAAAAY???> | <face @cedric_talk DON'T WORRYYY I'M FINEEEE> | <face @niko_eyeclosed ...don't scare me like that...> | <face @niko ...> | <face @niko_upset2 ....> | <face @niko2 Hey, \p...?> | <face @niko_eyeclosed Let's... do our best.>
  Event 3: EV003 @ (16,36)
  Event 4: EV004 @ (17,35)
  Event 5: EV005 @ (18,36)
  Event 6: EV006 @ (14,34)
  Event 7: EV007 @ (15,34)
  Event 8: EV008 @ (16,34)
  Event 9: EV009 @ (17,34)
  Event 10: EV010 @ (18,34)
  Event 11: EV011 @ (19,34)
  Event 12: EV012 @ (20,34)
  Event 13: EV013 @ (20,41)
  Event 14: EV014 @ (19,41)
  Event 15: EV015 @ (18,41)
  Event 16: EV016 @ (17,41)
  Event 17: EV017 @ (16,41)
  Event 18: EV018 @ (15,41)
  Event 19: EV019 @ (14,41)
  Event 20: west exit @ (39,36)
  Event 21: EV021 @ (13,35)
  Event 22: EV022 @ (13,36)
  Event 23: EV023 @ (13,37)
  Event 24: EV024 @ (13,38)
  Event 25: EV025 @ (13,39)
  Event 26: EV026 @ (13,40)
  Event 27: EV027 @ (15,35)
  Event 28: EV028 @ (15,36)
  Event 29: EV029 @ (16,37)
  Event 30: EV030 @ (17,37)
  Event 31: EV031 @ (18,37)
  Event 32: EV032 @ (19,37)
  Event 33: EV033 @ (19,36)
  Event 34: EV034 @ (18,35)
