Map 214: City gate  (120x100, tileset=6)

  Event 1: south exit @ (47,55)
  Event 2: guardian @ (46,45)
  Event 3: EV003 @ (54,44)
  Event 4: EV004 @ (55,45)
  Event 5: EV005 @ (58,46)
  Event 6: west exit @ (10,44)
  Event 7: npc_guardian @ (47,45)
  Event 8: EV008 @ (54,46)
  Event 9: EV009 @ (55,47)
  Event 10: EV010 @ (20,38)
  Event 12: EV012 @ (21,39)
  Event 13: EV013 @ (46,41)
    Page0: trigger=3  <face @red_gatekeeper [P l`e\>a#se do n ot ap`/p `r oa\>c%%h.]> | <face @niko3 ...>
  Event 14: npc_guardian @ (45,45)
  Event 15: EV015 @ (22,38)
  Event 16: EV016 @ (47,41)
  Event 17: EV017 @ (45,43)
