Map 217: entry room  (40x25, tileset=7)

  Event 1: west exit @ (9,13)
  Event 2: west exit @ (9,14)
  Event 3: stew @ (12,11)
  Event 4: south exit @ (18,18)
  Event 5: south exit @ (19,18)
  Event 6: stew @ (25,11)
  Event 7: west exit @ (30,13)
  Event 8: west exit @ (30,14)
  Event 9: watcher @ (19,11)
    Page0: trigger=0  <face @watcher Good morning.> | <face @watcher Good afternoon.> | <face @watcher Good evening.> | <face @watcher ...It's very late.> | <face @watcher Please leave me be.> | <face @watcher We are running out of time.> | <face @watcher Here we are, at the eleventh hour.> | <face @niko3 ...> | <face @niko2 Shouldn't you be...\.\.with the other evacuees?> | <face @watcher Maybe.> | <face @niko2 ...> | <face @watcher I wonder if the big clock has reached zero yet...> | <face @watcher I want to be right here when everything ends.>
  Event 10: indoor graphic @ (6,17)
