Map 225: observation deck  (140x36, tileset=15)

  Event 1: EV001 @ (27,19)
  Event 2: south exit @ (26,26)
  Event 3: init @ (24,22)
  Event 4: EV004 @ (28,19)
  Event 5: rue @ (30,21)
  Event 6: FAST TRAVEL @ (28,22)
  Event 7: EV007 @ (25,19)
  Event 8: EV008 @ (25,17)
  Event 9: EV009 @ (20,18)
  Event 10: EV010 @ (31,17)
  Event 11: EV011 @ (33,18)
  Event 12: outdoor graphic @ (20,25)
  Event 13: EV013 @ (32,19)
  Event 14: balcony @ (25,11)
  Event 15: EV015 @ (24,18)
  Event 16: Map Events @ (34,24)
