Map 226: Summit  (40x30, tileset=10)

  Event 1: EV001 @ (1,1)
  Event 2: elevator door @ (20,13)
  Event 3: map enter @ (19,11)
  Event 4: EV004 @ (18,18)
  Event 5: EV005 @ (19,18)
  Event 6: EV006 @ (20,18)
  Event 7: EV007 @ (21,18)
  Event 8: EV008 @ (18,17)
  Event 9: EV009 @ (21,17)
  Event 10: EV010 @ (19,17)
  Event 11: EV011 @ (20,17)
  Event 12: map event @ (12,11)
    Page0: trigger=3  <face @niko The world below looks so small...>
    Page1: trigger=3  <face @niko_eyeclosed No turning back now.>
    Page2: trigger=3  <face @niko2 This is where the sun belongs.> | <face @niko ...> | <face @niko_eyeclosed Here goes nothing, \p.>
  Event 13: EV013 @ (12,17)
  Event 14: EV014 @ (13,16)
  Event 15: EV015 @ (14,15)
  Event 16: EV016 @ (15,14)
  Event 17: EV017 @ (16,13)
  Event 18: EV018 @ (17,13)
  Event 19: EV019 @ (18,13)
  Event 20: EV020 @ (21,13)
  Event 21: EV021 @ (22,13)
  Event 22: EV022 @ (23,13)
  Event 23: EV023 @ (24,14)
  Event 24: EV024 @ (25,15)
  Event 25: EV025 @ (26,16)
  Event 26: EV026 @ (27,17)
  Event 27: EV027 @ (28,18)
  Event 28: EV028 @ (27,19)
  Event 29: EV029 @ (26,20)
  Event 30: EV030 @ (25,21)
  Event 31: EV031 @ (24,22)
  Event 32: EV032 @ (23,23)
  Event 33: EV033 @ (22,23)
  Event 34: EV034 @ (21,23)
  Event 35: EV035 @ (20,23)
  Event 36: EV036 @ (19,23)
  Event 37: EV037 @ (18,23)
  Event 38: EV038 @ (17,23)
  Event 39: EV039 @ (16,23)
  Event 40: EV040 @ (15,22)
  Event 41: EV041 @ (14,21)
  Event 42: EV042 @ (13,20)
  Event 43: EV043 @ (12,19)
  Event 44: EV044 @ (11,18)
  Event 45: EV045 @ (19,13)
