Map 232: backalley  (114x94, tileset=16)

  Event 1: EV001 @ (41,65)
  Event 2: EV002 @ (40,66)
  Event 3: EV003 @ (22,35)
  Event 4: EV004 @ (23,34)
  Event 10: bloack @ (46,73)
  Event 14: EV014 @ (54,19)
  Event 15: south exit @ (4,81)
  Event 17: EV017 @ (12,80)
  Event 18: EV018 @ (13,80)
  Event 19: EV019 @ (14,80)
  Event 20: EV020 @ (31,20)
  Event 21: EV021 @ (32,20)
  Event 22: EV022 @ (33,20)
  Event 23: EV023 @ (34,20)
  Event 28: EV028 @ (55,19)
  Event 29: FAST TRAVEL @ (22,36)
  Event 32: tree @ (13,64)
  Event 33: tree @ (14,64)
  Event 34: tree @ (45,64)
  Event 35: tree @ (44,64)
  Event 36: tree @ (48,64)
  Event 37: tree @ (43,64)
  Event 38: tree @ (42,64)
  Event 39: tree @ (37,64)
  Event 40: tree @ (21,64)
  Event 41: tree @ (26,36)
  Event 42: tree @ (27,35)
  Event 43: tree @ (14,36)
  Event 44: tree @ (38,64)
  Event 45: tree @ (39,64)
  Event 46: tree @ (36,64)
  Event 47: tree @ (35,64)
  Event 48: tree @ (27,64)
  Event 49: tree @ (26,64)
  Event 50: tree @ (23,64)
  Event 51: tree @ (24,64)
  Event 52: tree @ (17,64)
  Event 53: tree @ (16,64)
  Event 54: tree @ (28,35)
  Event 55: tree @ (29,35)
  Event 56: tree @ (19,35)
  Event 57: tree @ (18,35)
  Event 58: tree @ (16,35)
  Event 59: tree @ (15,35)
  Event 60: tree @ (37,35)
  Event 61: tree @ (38,35)
  Event 62: tree @ (47,35)
  Event 63: tree @ (48,35)
  Event 64: EV064 @ (65,38)
    Page0: trigger=0  <face [P\.\.#L.%%E\|AS;E D\.O NO//T AP\.\.PR#OACH]> | <face @niko3 ...>
  Event 65: EV065 @ (66,37)
  Event 66: EV066 @ (66,40)
  Event 67: EV067 @ (66,39)
  Event 68: EV068 @ (66,36)
  Event 69: tree @ (52,64)
  Event 70: tree @ (60,64)
  Event 71: tree @ (71,64)
  Event 72: tree @ (72,64)
  Event 73: tree @ (50,64)
  Event 74: tree @ (51,64)
  Event 75: tree @ (56,64)
  Event 76: tree @ (57,64)
  Event 77: tree @ (62,64)
  Event 78: tree @ (61,64)
  Event 79: tree @ (63,64)
  Event 80: tree @ (64,64)
  Event 81: tree @ (67,64)
  Event 82: tree @ (68,64)
  Event 83: EV083 @ (54,63)
  Event 84: EV084 @ (54,64)
    Page0: trigger=0  <face @niko It's a faded flyer.>
  Event 85: EV085 @ (59,64)
    Page0: trigger=0  <face @niko It's a faded flyer.>
  Event 86: EV086 @ (59,63)
  Event 87: EV087 @ (77,18)
  Event 88: EV088 @ (77,19)
  Event 89: EV089 @ (77,17)
  Event 90: EV090 @ (21,29)
  Event 91: CUBBYHOLE @ (31,46)
    Page0: trigger=0  <face @niko_speak It's a big crack in the wall!> | <face @niko I see bunch of mice, huddled together.> | <face @niko2 ...oh, but they scurried off...> | <face @niko_eyeclosed I hope they didn't think I was gonna eat them...>
