Map 234: fish house  (40x30, tileset=7)

  Event 1: EV001 @ (17,18)
  Event 2: EV002 @ (18,18)
  Event 4: indoor graphic @ (13,20)
  Event 5: tank small @ (18,10)
  Event 6: tank big @ (21,10)
  Event 7: EV007 @ (18,11)
  Event 8: EV008 @ (21,11)
  Event 9: tank small @ (14,13)
  Event 10:   @ (14,14)
  Event 11: EV011 @ (21,16)
  Event 12: tank big @ (21,15)
  Event 13: tank big @ (18,15)
  Event 14: tank dialog @ (13,13)
  Event 15: Map events @ (12,6)
    Page0: trigger=3  <face @niko_speak It's a big fishtank!>
  Event 16: tank dialog @ (15,13)
  Event 17: tank dialog @ (17,15)
  Event 18: tank dialog @ (19,15)
  Event 19: tank dialog @ (20,15)
  Event 20: tank dialog @ (22,15)
  Event 21: tank dialog @ (22,10)
  Event 22: tank dialog @ (20,10)
  Event 23: tank dialog @ (19,10)
  Event 24: EV024 @ (18,16)
  Event 25: EV025 @ (15,10)
  Event 26: EV026 @ (14,10)
  Event 27: tank dialog @ (17,10)
