Map 239: burial grounds PLANE FIXED  (120x100, tileset=4)

  Event 1: marimo @ (29,50)
  Event 2: marimo @ (44,51)
  Event 3: marimo @ (19,43)
  Event 4: marimo @ (19,33)
  Event 5: marimo @ (29,28)
  Event 6: EV006 @ (38,40)
  Event 7: marimo @ (55,39)
  Event 8: marimo @ (57,29)
  Event 9: marimo @ (44,23)
  Event 10: marimo @ (36,24)
  Event 11: marimo @ (53,49)
  Event 12: marimo @ (64,48)
  Event 13: marimo @ (66,42)
  Event 14: marimo @ (22,47)
  Event 15: marimo @ (36,63)
  Event 16: marimo @ (48,63)
  Event 17: marimo @ (59,48)
  Event 18: marimo @ (31,53)
  Event 19: EV019 @ (21,44)
  Event 20: EV020 @ (43,41)
  Event 21: EV021 @ (47,41)
  Event 22: EV022 @ (48,41)
  Event 23: EV023 @ (53,39)
  Event 24: EV024 @ (67,44)
  Event 25: EV025 @ (63,47)
  Event 26: EV026 @ (60,47)
  Event 27: EV027 @ (59,47)
  Event 28: EV028 @ (51,48)
  Event 29: EV029 @ (49,49)
  Event 30: EV030 @ (44,49)
  Event 31: EV031 @ (41,50)
  Event 32: EV032 @ (40,50)
  Event 33: EV033 @ (35,50)
  Event 34: EV034 @ (34,50)
  Event 35: EV035 @ (29,48)
  Event 36: EV036 @ (39,61)
  Event 37: EV037 @ (38,61)
  Event 38: EV038 @ (32,60)
  Event 39: EV039 @ (47,60)
  Event 40: EV040 @ (43,60)
  Event 41: EV041 @ (54,62)
  Event 42: EV042 @ (55,62)
  Event 43: EV043 @ (60,61)
  Event 44: EV044 @ (61,61)
  Event 45: EV045 @ (69,63)
  Event 46: EV046 @ (77,62)
  Event 47: EV047 @ (78,62)
  Event 48: EV048 @ (83,59)
  Event 49: EV049 @ (70,63)
  Event 50: EV050 @ (80,62)
  Event 51: EV051 @ (74,63)
  Event 52: EV052 @ (75,63)
  Event 53: EV053 @ (64,61)
  Event 54: EV054 @ (56,62)
  Event 55: EV055 @ (49,61)
  Event 56: EV056 @ (46,59)
  Event 57: EV057 @ (42,60)
  Event 58: EV058 @ (34,61)
  Event 59: EV059 @ (33,61)
  Event 60: EV060 @ (42,50)
  Event 61: EV061 @ (46,49)
  Event 62: EV062 @ (27,48)
  Event 63: EV063 @ (26,48)
  Event 64: EV064 @ (25,47)
  Event 65: EV065 @ (42,42)
  Event 66: EV066 @ (49,41)
  Event 67: EV067 @ (61,47)
  Event 68: EV068 @ (31,33)
  Event 69: EV069 @ (58,62)
  Event 70: EV070 @ (52,61)
  Event 71: EV071 @ (56,48)
  Event 72: EV072 @ (58,47)
  Event 73: EV073 @ (37,49)
  Event 74: EV074 @ (43,50)
  Event 75: EV075 @ (45,49)
  Event 76: EV076 @ (50,48)
  Event 77: EV077 @ (55,48)
  Event 78: EV078 @ (62,47)
