Map 241: Tv room  (60x80, tileset=25)

  Event 1: EV001 @ (21,72)
  Event 2: LVL 1 UP @ (53,73)
  Event 3: LVL 2 DOWN @ (53,62)
  Event 4: EV004 @ (53,74)
  Event 5: EV005 @ (53,63)
  Event 6: EV006 @ (7,63)
  Event 7: EV007 @ (7,52)
  Event 8: EV008 @ (53,52)
  Event 9: LVL 2 UP @ (7,62)
  Event 10: LVL 3 DOWN @ (7,51)
  Event 11: LVL 3 UP @ (53,51)
  Event 12: LVL 4 DOWN @ (53,40)
  Event 13: LVL 4 UP @ (7,40)
  Event 14: LVL 5 DOWN @ (7,22)
  Event 15: EV015 @ (53,41)
  Event 16: EV016 @ (7,41)
  Event 17: EV017 @ (7,23)
  Event 18: LVL 4 DOWN @ (49,21)
  Event 19: LVL 4 DOWN @ (50,21)
  Event 20: LVL 4 DOWN @ (51,21)
  Event 21: EV021 @ (3,65)
  Event 22: EV022 @ (3,74)
  Event 23: EV023 @ (9,70)
  Event 24: EV024 @ (15,66)
  Event 25: EV025 @ (3,75)
  Event 26: EV026 @ (15,71)
  Event 27: EV027 @ (15,72)
  Event 28: EV028 @ (9,71)
  Event 29: EV029 @ (15,67)
  Event 30: EV030 @ (3,66)
  Event 31: EV031 @ (20,69)
  Event 32: EV032 @ (20,70)
  Event 33: EV033 @ (26,72)
  Event 34: EV034 @ (26,73)
  Event 35: EV035 @ (28,68)
  Event 36: EV036 @ (28,69)
  Event 37: EV037 @ (33,71)
  Event 38: EV038 @ (33,72)
  Event 39: EV039 @ (38,69)
  Event 40: EV040 @ (38,70)
  Event 41: EV041 @ (42,67)
  Event 42: EV042 @ (42,68)
  Event 43: EV043 @ (44,71)
  Event 44: EV044 @ (44,72)
  Event 45: EV045 @ (50,70)
  Event 46: EV046 @ (50,71)
  Event 47: EV047 @ (23,60)
  Event 48: EV048 @ (38,49)
  Event 49: EV049 @ (18,36)
  Event 50: EV050 @ (23,61)
  Event 51: EV051 @ (38,50)
  Event 52: EV052 @ (18,37)
  Event 53: EV053 @ (46,60)
  Event 54: EV054 @ (30,50)
  Event 55: EV055 @ (41,35)
  Event 56: EV056 @ (46,61)
  Event 57: EV057 @ (30,51)
  Event 58: EV058 @ (41,36)
  Event 59: EV059 @ (9,58)
  Event 60: EV060 @ (46,45)
  Event 61: EV061 @ (29,35)
  Event 62: EV062 @ (9,59)
  Event 63: EV063 @ (46,46)
  Event 64: EV064 @ (29,36)
  Event 65: EV065 @ (33,59)
  Event 66: EV066 @ (22,45)
  Event 67: EV067 @ (50,37)
  Event 68: EV068 @ (33,60)
  Event 69: EV069 @ (22,46)
  Event 70: EV070 @ (50,38)
  Event 71: EV071 @ (28,56)
  Event 72: EV072 @ (14,46)
  Event 73: EV073 @ (35,38)
  Event 74: EV074 @ (28,57)
  Event 75: EV075 @ (14,47)
  Event 76: EV076 @ (35,39)
  Event 77: EV077 @ (9,36)
  Event 78: EV078 @ (26,48)
  Event 79: EV079 @ (51,58)
  Event 80: EV080 @ (51,59)
  Event 81: EV081 @ (26,49)
  Event 82: EV082 @ (9,37)
  Event 83: EV083 @ (12,60)
  Event 84: EV084 @ (47,50)
  Event 85: EV085 @ (26,39)
  Event 86: EV086 @ (12,61)
  Event 87: EV087 @ (47,51)
  Event 88: EV088 @ (26,40)
  Event 89: EV089 @ (38,56)
  Event 90: EV090 @ (53,49)
  Event 91: EV091 @ (12,39)
  Event 92: EV092 @ (38,57)
  Event 93: EV093 @ (53,50)
  Event 94: EV094 @ (12,40)
  Event 95: EV095 @ (18,57)
  Event 96: EV096 @ (3,52)
  Event 97: EV097 @ (56,41)
  Event 98: EV098 @ (3,53)
  Event 99: EV099 @ (18,58)
  Event 100: EV100 @ (56,42)
  Event 101: EV101 @ (56,62)
  Event 102: EV102 @ (9,49)
  Event 103: EV103 @ (23,34)
  Event 104: EV104 @ (56,63)
  Event 105: EV105 @ (9,50)
  Event 106: EV106 @ (23,35)
  Event 107: EV107 @ (39,61)
  Event 108: EV108 @ (33,46)
  Event 109: EV109 @ (6,39)
  Event 110: EV110 @ (39,62)
  Event 111: EV111 @ (33,47)
  Event 112: EV112 @ (6,40)
  Event 113: EV113 @ (29,61)
  Event 114: EV114 @ (20,49)
  Event 115: EV115 @ (44,39)
  Event 116: EV116 @ (29,62)
  Event 117: EV117 @ (20,50)
  Event 118: EV118 @ (44,40)
  Event 119: EV119 @ (4,59)
  Event 120: EV120 @ (4,60)
  Event 121: EV121 @ (57,54)
  Event 122: EV122 @ (57,55)
  Event 123: EV123 @ (43,48)
  Event 124: EV124 @ (43,49)
  Event 125: EV125 @ (44,57)
  Event 126: EV126 @ (44,58)
  Event 127: EV127 @ (24,39)
  Event 128: EV128 @ (50,22)
  Event 129: EV129 @ (50,23)
  Event 130: EV130 @ (39,72)
  Event 131: EV131 @ (42,61)
  Event 132: EV132 @ (34,50)
  Event 133: EV133 @ (17,61)
  Event 134: EV134 @ (17,21)
  Event 135: EV135 @ (38,21)
  Event 136: EV136 @ (39,39)
  Event 137: EV137 @ (16,39)
