Map 242: Encounter  (21x50, tileset=25)

  Event 1: niko reflection @ (10,18)
  Event 2: LVL 4 DOWN @ (9,49)
  Event 3: LVL 4 DOWN @ (10,49)
  Event 4: LVL 4 DOWN @ (11,49)
  Event 5: EV005 @ (10,19)
  Event 6: EV006 @ (10,27)
  Event 7: EV007 @ (11,27)
  Event 8: EV008 @ (9,27)
  Event 9: map events @ (15,24)
