Map 246: squrz  (50x50, tileset=1)

  Event 1: EV001 @ (12,20)
  Event 2: EV002 @ (12,19)
  Event 3: EV003 @ (12,18)
  Event 4: EV004 @ (12,17)
  Event 5: EV005 @ (12,16)
  Event 6: EV006 @ (12,15)
  Event 7: EV007 @ (12,14)
  Event 8: EV008 @ (12,13)
  Event 9: EV009 @ (12,12)
  Event 10: EV010 @ (12,11)
  Event 11: EV011 @ (13,11)
  Event 12: EV012 @ (14,11)
  Event 13: EV013 @ (15,11)
  Event 14: EV014 @ (16,11)
  Event 15: EV015 @ (17,11)
  Event 16: EV016 @ (19,11)
  Event 17: EV017 @ (20,11)
  Event 18: EV018 @ (21,11)
  Event 19: EV019 @ (22,11)
  Event 20: EV020 @ (23,11)
  Event 21: EV021 @ (24,11)
  Event 22: EV022 @ (25,11)
  Event 23: EV023 @ (26,11)
  Event 24: EV024 @ (27,11)
  Event 25: EV025 @ (28,11)
  Event 26: EV026 @ (29,11)
  Event 27: EV027 @ (30,11)
  Event 28: EV028 @ (31,11)
  Event 29: EV029 @ (32,11)
  Event 30: EV030 @ (32,12)
  Event 31: EV031 @ (32,13)
  Event 32: EV032 @ (32,14)
  Event 33: EV033 @ (32,15)
  Event 34: EV034 @ (32,16)
  Event 35: EV035 @ (32,17)
  Event 36: EV036 @ (32,18)
  Event 37: EV037 @ (32,19)
  Event 38: EV038 @ (32,20)
  Event 39: EV039 @ (32,21)
  Event 40: EV040 @ (31,21)
  Event 41: EV041 @ (30,21)
  Event 42: EV042 @ (29,21)
  Event 43: EV043 @ (28,21)
  Event 44: EV044 @ (27,21)
  Event 45: EV045 @ (26,21)
  Event 46: EV046 @ (25,21)
  Event 47: EV047 @ (24,21)
  Event 48: EV048 @ (23,21)
  Event 49: EV049 @ (22,21)
  Event 50: EV050 @ (21,21)
  Event 51: EV051 @ (20,21)
  Event 52: EV052 @ (19,21)
  Event 53: EV053 @ (18,21)
  Event 54: EV054 @ (17,21)
  Event 55: EV055 @ (16,21)
  Event 56: EV056 @ (15,21)
  Event 57: EV057 @ (14,21)
  Event 58: EV058 @ (13,21)
  Event 59: EV059 @ (12,21)
  Event 60: EV060 @ (13,20)
  Event 61: EV061 @ (13,19)
  Event 62: EV062 @ (13,18)
  Event 63: EV063 @ (13,17)
  Event 64: EV064 @ (13,16)
  Event 65: EV065 @ (13,15)
  Event 66: EV066 @ (13,14)
  Event 67: EV067 @ (13,13)
  Event 68: EV068 @ (13,12)
  Event 69: EV069 @ (15,12)
  Event 70: EV070 @ (16,12)
  Event 71: EV071 @ (14,12)
  Event 72: EV072 @ (17,12)
  Event 73: EV073 @ (18,12)
  Event 74: EV074 @ (18,11)
  Event 75: EV075 @ (19,12)
  Event 76: EV076 @ (20,12)
  Event 77: EV077 @ (21,12)
  Event 78: EV078 @ (22,12)
  Event 79: EV079 @ (23,12)
  Event 80: EV080 @ (24,12)
  Event 81: EV081 @ (25,12)
  Event 82: EV082 @ (26,12)
  Event 83: EV083 @ (27,12)
  Event 84: EV084 @ (28,12)
  Event 85: EV085 @ (29,12)
  Event 86: EV086 @ (30,12)
  Event 87: EV087 @ (31,12)
  Event 88: EV088 @ (31,13)
  Event 89: EV089 @ (31,14)
  Event 90: EV090 @ (31,15)
  Event 91: EV091 @ (31,16)
  Event 92: EV092 @ (31,17)
  Event 93: EV093 @ (31,18)
  Event 94: EV094 @ (31,19)
  Event 95: EV095 @ (31,20)
  Event 96: EV096 @ (30,20)
  Event 97: EV097 @ (29,20)
  Event 98: EV098 @ (28,20)
  Event 99: EV099 @ (27,20)
  Event 100: EV100 @ (26,20)
  Event 101: EV101 @ (25,20)
  Event 102: EV102 @ (24,20)
  Event 103: EV103 @ (23,20)
  Event 104: EV104 @ (22,20)
  Event 105: EV105 @ (21,20)
  Event 106: EV106 @ (20,20)
  Event 107: EV107 @ (19,20)
  Event 108: EV108 @ (18,20)
  Event 109: EV109 @ (17,20)
  Event 110: EV110 @ (16,20)
  Event 111: EV111 @ (15,20)
  Event 112: EV112 @ (14,20)
  Event 113: EV113 @ (14,19)
  Event 114: EV114 @ (14,18)
  Event 115: EV115 @ (14,17)
  Event 116: EV116 @ (14,16)
  Event 117: EV117 @ (14,15)
  Event 118: EV118 @ (14,14)
  Event 119: EV119 @ (14,13)
  Event 120: EV120 @ (15,13)
