Map 248: server room  (80x40, tileset=18)

  Event 1: EV001 @ (53,17)
  Event 2: sqrzbgone @ (41,20)
  Event 3: EV003 @ (56,17)
  Event 4: EV004 @ (59,17)
  Event 5: EV005 @ (62,17)
  Event 6: EV006 @ (23,20)
  Event 7: EV007 @ (62,22)
  Event 8: EV008 @ (59,22)
  Event 9: EV009 @ (56,22)
  Event 10: nopass @ (55,22)
  Event 11: EV011 @ (65,22)
  Event 12: EV012 @ (64,19)
    Page0: trigger=0  <face @niko Some sort of small machine.> | <face @niko I wonder what it does?> | <face @niko_speak I can feel my hair standing up a little...>
    Page1: trigger=0  <face @niko It's a power cell...\nI think.> | <face @niko_speak Oh!> | <face @niko_speak The word "Prophetbot" is written on the side.> | <face @niko Didn't notice that earlier.>
  Event 13: fireflies @ (66,19)
    Page0: trigger=0  <face @niko There are a lot of small, glowing shrimp swimming in the jar.>
  Event 14: EV014 @ (66,21)
  Event 15: nopass @ (52,17)
  Event 16: nopass @ (54,17)
  Event 17: nopass @ (55,17)
  Event 18: nopass @ (57,17)
  Event 19: nopass @ (58,17)
  Event 20: nopass @ (60,17)
  Event 21: nopass @ (61,17)
  Event 22: nopass @ (63,17)
  Event 23: silver walk @ (19,20)
    Page1: trigger=0  <face @silver [Let's go.]>
  Event 24: EV024 @ (48,20)
  Event 25: nopass @ (66,22)
  Event 26: nopass @ (63,22)
  Event 27: nopass @ (64,22)
  Event 28: nopass @ (61,22)
  Event 29: nopass @ (60,22)
  Event 30: nopass @ (57,22)
  Event 31: nopass @ (58,22)
  Event 32: EV032 @ (45,19)
  Event 33: EV033 @ (49,20)
    Page1: trigger=0  <face @niko It's not safe to use this minecart anymore, \p.>
  Event 35: EV035 @ (46,20)
  Event 36: EV036 @ (46,21)
  Event 37: EV037 @ (65,16)
  Event 41: EV041 @ (44,21)
  Event 43: invisible silver @ (20,20)
    Page1: trigger=0  <face @silver [Let's go.]>
