Map 257: ground 2  (136x54, tileset=12)

  Event 1: tower door left @ (15,18)
  Event 2: EV002 @ (110,16)
  Event 3: EV003 @ (28,33)
  Event 4: EV004 @ (30,36)
  Event 5: tower door right @ (16,18)
  Event 6: EV006 @ (110,15)
  Event 7: EV007 @ (36,18)
  Event 8: EV008 @ (38,22)
  Event 9: sqrzbgone @ (28,21)
  Event 10: EV010 @ (47,22)
  Event 11: EV011 @ (51,18)
  Event 12: EV012 @ (59,20)
  Event 13: EV013 @ (62,21)
  Event 14: EV014 @ (19,17)
  Event 15: EV015 @ (20,16)
  Event 16: EV016 @ (21,16)
  Event 17: EV017 @ (22,16)
  Event 18: EV018 @ (23,16)
  Event 23: EV023 @ (40,18)
  Event 24: EV024 @ (52,22)
  Event 27: EV027 @ (22,18)
  Event 28: EV028 @ (26,23)
  Event 29: EV029 @ (33,23)
  Event 30: EV030 @ (45,23)
  Event 31: EV031 @ (51,23)
  Event 32: EV032 @ (57,23)
  Event 33: EV033 @ (63,23)
  Event 34: EV034 @ (69,23)
  Event 35: EV035 @ (75,23)
  Event 36: EV036 @ (81,23)
  Event 37: EV037 @ (87,23)
  Event 38: EV038 @ (92,23)
  Event 39: EV039 @ (98,23)
  Event 40: EV040 @ (104,23)
  Event 41: EV041 @ (110,23)
  Event 42: EV042 @ (39,23)
  Event 43: EV043 @ (20,23)
  Event 44: EV044 @ (26,22)
  Event 45: EV045 @ (20,22)
  Event 46: EV046 @ (33,22)
  Event 47: EV047 @ (39,22)
  Event 48: EV048 @ (45,22)
  Event 49: EV049 @ (51,22)
  Event 50: EV050 @ (57,22)
  Event 51: EV051 @ (63,22)
  Event 52: EV052 @ (69,22)
  Event 53: EV053 @ (75,22)
  Event 54: EV054 @ (81,22)
  Event 55: EV055 @ (87,22)
  Event 56: EV056 @ (92,22)
  Event 57: EV057 @ (98,22)
  Event 58: EV058 @ (104,22)
  Event 59: EV059 @ (110,22)
  Event 60: EV060 @ (99,16)
  Event 61: EV061 @ (88,16)
  Event 62: EV062 @ (77,16)
  Event 63: EV063 @ (66,16)
  Event 64: EV064 @ (99,15)
  Event 65: EV065 @ (88,15)
  Event 66: EV066 @ (77,15)
  Event 67: EV067 @ (66,15)
  Event 68: EV068 @ (55,15)
  Event 69: EV069 @ (44,15)
  Event 70: EV070 @ (33,15)
  Event 71: EV071 @ (22,17)
  Event 72: EV072 @ (33,16)
  Event 73: EV073 @ (44,16)
  Event 74: EV074 @ (55,16)
  Event 78: EV078 @ (61,18)
  Event 81: EV081 @ (16,34)
  Event 82: EV082 @ (15,33)
  Event 83: EV083 @ (16,36)
  Event 84: EV084 @ (17,37)
  Event 85: EV085 @ (15,35)
  Event 86: EV086 @ (24,29)
    Page0: trigger=1  <face @kip I couldn't stop him...> | <face @kip Sigh> | <face @niko Hey> | <face @kip Messiah?> | <face @kip Oh... you came at an awful time> | <face @kip come on, we have to get outta here.> | <face @niko Where?> | <face @kip Where everyone else is>
  Event 94: EV094 @ (91,26)
