Map 260: locked room  (50x50, tileset=15)

  Event 1: EV001 @ (14,20)
  Event 2: EV002 @ (35,20)
  Event 3: EV003 @ (12,27)
  Event 4: EV004 @ (12,25)
  Event 5: EV005 @ (13,25)
  Event 6: EV006 @ (13,26)
  Event 7: EV007 @ (13,27)
  Event 8: EV008 @ (12,26)
  Event 9: tower door right @ (36,20)
  Event 10: elevator door left @ (15,20)
  Event 11: EV011 @ (24,18)
  Event 12: EV012 @ (25,18)
  Event 13: south exit @ (22,36)
  Event 14: map events @ (19,15)
    Page0: trigger=3  <face @niko This elevator won't open.> | <face @niko Looks like it's stuck on another floor?>
    Page1: trigger=3  <face @niko This elevator won't open.> | <face @niko Looks like it's stuck on another floor?>
    Page2: trigger=3  <face @ed [\p, I don't know who put this bed here...]> | <face @ed [But this bed will bring you back to the beginning of your journey.]> | <face @ed [Keep this in mind before you decide to let Niko sleep here.]> | <face @niko_eyeclosed I'm a little tired from walking.> | <face @niko_speak Is it alright if I take a nap?> | <face > | <face @niko_eyeclosed Ah, well... \>\n\@niko I suppose there's more work to do.>
  Event 15: EV015 @ (26,18)
  Event 16: EV016 @ (22,23)
  Event 17: EV017 @ (25,23)
  Event 18: EV018 @ (28,23)
  Event 19: EV019 @ (24,20)
  Event 20: EV020 @ (25,20)
  Event 21: EV021 @ (26,20)
  Event 32: EV032 @ (25,24)
  Event 33: EV033 @ (22,24)
  Event 34: EV034 @ (28,24)
  Event 35: EV035 @ (24,21)
  Event 36: EV036 @ (25,21)
  Event 37: EV037 @ (26,21)
